mode,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
meta,drop_rf,4,849,0.5370137350549921,0.9010340275986471,0.493735985604166,0.5008693542693482,0.5363410885746658,
meta,drop_svm,4,849,0.5499347526072145,0.9215077018535172,0.4986139458693696,0.5172839866928778,0.5461880706300161,
meta,drop_xgb,4,849,0.5331360407853752,0.9216217213755897,0.4853123781888652,0.5028075859544596,0.5314673919892086,
meta,drop_tcn,4,849,0.557953327742349,0.9154010034123017,0.4891699894952528,0.5026864521669677,0.5355083133559678,
meta,drop_tcn_gru,4,849,0.5411568118878205,0.9234818452012852,0.48991124481686665,0.5025105927405564,0.5401161366545715,
meta,drop_lstm,4,849,0.5519836611272434,0.9163736086960184,0.48860915948668815,0.5037207923649373,0.5217985583971849,
meta,drop_gru,4,849,0.5701114588744816,0.9061528603224368,0.5004625837680852,0.5145110451740108,0.5488154048318896,
meta,drop_all_tabular_bases,4,849,0.52676218278885,0.9241186874432378,0.4704020591973224,0.4827987199047371,0.5206632085542942,
meta,drop_all_sequential_bases,4,849,0.5215400452013409,0.9320282974391949,0.47797037876954196,0.48794623154395256,0.5071391073700313,
meta,drop_all_race_context_KEEP_ONLY_PREDS,4,849,0.5642625325478338,0.9046995863376177,0.5021818084959702,0.5241240148779774,0.5385337281809797,
