num__race_progress,num__pit_stops_so_far,num__minutes_rain,num__gap_behind_s,num__n_cars_within_5s_ahead,num__tyre_age_diff_to_ahead,num__rejoin_gap_ahead_est_s,num__rejoin_gap_behind_est_s,cat__current_compound,cat__race_track,cat__fulfilled_second_compound,cat__rained_yet,cat__is_raining,y_compound_int,y_compound
1.6707695299449838,0.3400049602119876,-0.12312584027520622,1.5963749506674623,-0.6255191520372567,-1.401803620266444,1.5361751281708735,1.6506895073649992,0.0,3.0,1.0,0.0,0.0,3,SOFT
-0.9401743827331481,-0.7367987574615237,-0.12312584027520622,-0.13574587714398745,-0.6255191520372567,-0.49378850293931936,0.22578414745976488,1.921391949805524,2.0,3.0,0.0,0.0,0.0,0,HARD
-0.9401743827331481,-0.7367987574615237,-0.12312584027520622,-0.14297762344228143,0.009590339401944224,-0.7964602087150275,-0.7317011077594489,2.683912262853014,2.0,3.0,0.0,0.0,0.0,0,HARD
0.8004548923856067,-0.7367987574615237,-0.12312584027520622,-0.15938134065548504,-0.6255191520372567,2.129366280450152,-0.7465645247693536,-0.4192217626732506,0.0,3.0,0.0,0.0,0.0,2,MEDIUM
-0.9401743827331481,-0.7367987574615237,-0.12312584027520622,-0.09638283530085126,0.009590339401944224,-0.49378850293931936,-0.670975345471234,-0.3394559848731582,3.0,3.0,0.0,0.0,0.0,0,HARD
-0.03345442700135247,-0.7367987574615237,-0.12312584027520622,0.6791778591768687,0.009590339401944224,-0.3928979343474166,0.5509046564692414,0.04257730251830114,2.0,4.0,0.0,0.0,0.0,0,HARD
1.4204829675096073,0.3400049602119876,-0.12312584027520622,1.1637636558477225,-0.6255191520372567,0.3133360457959026,1.4820106941123605,0.9214938006845006,0.0,4.0,1.0,0.0,0.0,3,SOFT
0.6127399705590744,-0.7367987574615237,-0.12312584027520622,0.009976750500837756,-0.6255191520372567,-0.49378850293931936,0.11457632920097471,-0.23628300356088228,2.0,4.0,0.0,0.0,0.0,0,HARD
1.4204829675096073,0.3400049602119876,-0.12312584027520622,0.165723871998216,-0.6255191520372567,-3.82317726647211,-0.24013710917064343,1.6072342206624328,0.0,4.0,1.0,0.0,0.0,3,SOFT
1.4204829675096073,-0.7367987574615237,-0.12312584027520622,0.23524858742686341,-0.6255191520372567,-0.49378850293931936,-0.39847936695624836,-0.07685808670106939,2.0,4.0,0.0,0.0,0.0,3,SOFT
-0.5988745248667258,-0.7367987574615237,-0.12312584027520622,-0.13307071896047631,1.279809322280346,-0.19111679716361116,-0.2648425185248801,0.44844434838343167,3.0,4.0,0.0,0.0,0.0,0,HARD
1.4204829675096073,0.3400049602119876,-0.12312584027520622,0.2638228045079493,0.009590339401944224,-1.805365894634055,-0.4635570306213172,-0.2432678410554011,0.0,4.0,1.0,0.0,0.0,3,SOFT
