mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,xgb,drop_COL_close_ahead,0,19525,0.36000000000000004,0.45274681839445263,0.07343792217926914,0.49913344887348354,0.4376899696048632,0.5806451612903226,288,370,208,18659
base,xgb,drop_COL_gap_behind_s,0,19525,0.33,0.480348584624167,0.07160928188584155,0.499151103565365,0.4310850439882698,0.592741935483871,294,388,202,18641
base,xgb,drop_COL_n_cars_within_5s_ahead,0,19525,0.38,0.46472597025725576,0.07145538690913385,0.49577464788732395,0.46397188049209137,0.532258064516129,264,305,232,18724
base,xgb,drop_COL_tyre_age_diff_to_ahead,0,19525,0.36000000000000004,0.46180710550900156,0.07309284511536251,0.4908296943231441,0.43297380585516176,0.5665322580645161,281,368,215,18661
base,xgb,drop_COL_rejoin_gap_ahead_est_s,0,19525,0.34,0.4612107608582628,0.07301166537006641,0.5055131467345207,0.4363103953147877,0.6008064516129032,298,385,198,18644
base,xgb,drop_COL_rejoin_gap_behind_est_s,0,19525,0.36000000000000004,0.4790687546288205,0.07084492282027588,0.49272727272727274,0.44867549668874174,0.5463709677419355,271,333,225,18696
base,xgb,drop_UNDERCUT_PACK,0,19525,0.33,0.4432155212911645,0.07782453786399494,0.47980997624703087,0.39504563233376794,0.6108870967741935,303,464,193,18565
base,xgb,baseline_full,1,19449,0.35000000000000003,0.390214899650129,0.08532097975050076,0.47373107747105964,0.4658493870402802,0.48188405797101447,266,305,286,18592
base,xgb,drop_G_race_phase,1,19449,0.29000000000000004,0.3977980838290355,0.08339890841348714,0.47619047619047616,0.47237076648841353,0.48007246376811596,265,296,287,18601
base,xgb,drop_G_race_control,1,19449,0.35000000000000003,0.3926981818830569,0.08462235068209685,0.44525547445255476,0.4485294117647059,0.4420289855072464,244,300,308,18597
base,xgb,drop_G_track,1,19449,0.28,0.3420372024201628,0.08680196679424615,0.37842778793418647,0.38191881918819187,0.375,207,335,345,18562
