ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
drop_G_race_control,0.27775535039027016,0.053443647465402866,0.13886442632011425,0.03161040366097323,0.29414829074891563,0.041091828565722105,0.19705954322932567,0.6063303715949198,311.8,1324.6,203.6,17648.2,0.0020387715223339486,0.00030618155918693546,0.0007151893561337941,-0.0020387715223339486,0.00030618155918693546
drop_G_race_phase,0.2525515975495236,0.04454062984854852,0.13758573001544355,0.02994835519489986,0.2581828939241606,0.04281705410549581,0.1672743226198336,0.5977906747090264,307.6,1606.2,207.8,17366.6,-0.023164981318412603,-0.0009725147454837657,-0.03525020746862123,0.023164981318412603,-0.0009725147454837657
drop_G_strategy_history,0.27155755413129984,0.04514463156437904,0.13283466251926232,0.024598359183817545,0.28701887700949574,0.034342472477245825,0.18865002575259338,0.6154559618051856,317.2,1393.4,198.2,17579.4,-0.004159024736636374,-0.005723582241664998,-0.0064142243832860935,0.004159024736636374,-0.005723582241664998
drop_G_track,0.14359631433474557,0.030112717295969517,0.1434323458951846,0.04088827469993977,0.20627810642436684,0.01625585232967158,0.13251600026134353,0.47053563935088505,242.0,1588.6,273.4,17384.2,-0.13212026453319065,0.0048741011342572915,-0.087154994968415,0.13212026453319065,0.0048741011342572915
drop_G_traffic_proximity,0.2613771395803277,0.04933061582429127,0.16990534473798014,0.05083409098220771,0.29813076069481953,0.04721960626494268,0.2022045743757912,0.588293908253068,302.8,1247.4,212.6,17725.4,-0.014339439287608502,0.03134709997705282,0.004697659302037693,0.014339439287608502,0.03134709997705282
drop_G_tyre_state,0.2260936021144881,0.04944859562435902,0.16249388062609388,0.07897752497010534,0.2617927965182214,0.052816378076294794,0.17263599319701928,0.566918719314542,291.2,1497.6,224.2,17475.2,-0.04962297675344812,0.02393563586516656,-0.03164030487456043,0.04962297675344812,0.02393563586516656
drop_G_undercut_defence,0.27279992619524446,0.048163250584148894,0.14316416601573853,0.03154731067276336,0.2946917255600235,0.036425593955432004,0.19754445969166035,0.5996208823111314,308.2,1291.2,207.2,17681.6,-0.002916652672691755,0.004605921254811213,0.001258624167241651,0.002916652672691755,0.004605921254811213
drop_G_undercut_window,0.25105925771302445,0.047434079332649565,0.1752444163839537,0.04930308781710075,0.29652695611962876,0.040578008394147595,0.19858361941408986,0.6087320469424595,313.0,1314.8,202.4,17658.0,-0.02465732115491176,0.03668617162302637,0.003093854726846923,0.02465732115491176,0.03668617162302637
drop_G_weather,0.30719283714002177,0.045802475374311626,0.1272806734571589,0.027700691052780696,0.3085075625311436,0.03646918626756661,0.2066636902189066,0.6247180447247443,321.4,1268.4,194.0,17704.4,0.031476258272085555,-0.011277571303768413,0.01507446113836175,-0.031476258272085555,-0.011277571303768413
drop_UNDERCUT_PACK,0.25036975705835374,0.043945497788302014,0.18479977231698624,0.04967907662042513,0.2916526265418504,0.04263823544204109,0.1958680739720482,0.5975946000440272,307.2,1320.8,208.2,17652.0,-0.025346821809582476,0.046241527556058926,-0.0017804748509314128,0.025346821809582476,0.046241527556058926
