mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,svm,drop_G_track,1,19449,0.05,0.15722001892896864,0.12003763862333004,0.21975203078238564,0.1438164521544488,0.46557971014492755,257,1530,295,17367
base,svm,drop_G_tyre_state,1,19449,0.09,0.2283749555481275,0.12684463065652088,0.26436781609195403,0.17485380116959065,0.5416666666666666,299,1411,253,17486
base,svm,drop_G_strategy_history,1,19449,0.09,0.24862570406309126,0.15012195914014653,0.3060468942821884,0.1979776476849388,0.6739130434782609,372,1507,180,17390
base,svm,drop_G_pace,1,19449,0.05,0.1115215180704887,0.12840664964404896,0.15829145728643215,0.09189031505250875,0.5706521739130435,315,3113,237,15784
base,svm,drop_G_traffic_proximity,1,19449,0.11,0.2603703867474837,0.1622595751473921,0.33780427223050175,0.2327173169062286,0.6159420289855072,340,1121,212,17776
base,svm,drop_G_undercut_defence,1,19449,0.11,0.25582682648142396,0.15236181394595616,0.31229847996315063,0.20938851142680667,0.6141304347826086,339,1280,213,17617
base,svm,drop_G_undercut_window,1,19449,0.12,0.2491496288512144,0.17045663721825435,0.33510381458232735,0.228439763001975,0.6286231884057971,347,1172,205,17725
base,svm,drop_G_weather,1,19449,0.11,0.2699874947608895,0.15613064497654922,0.3261958997722096,0.21789409616555083,0.6485507246376812,358,1285,194,17612
base,svm,drop_ENGINEERED_ALL,1,19449,0.13,0.23092339573133674,0.21445172264149243,0.3159980188211986,0.2174505794137696,0.5778985507246377,319,1148,233,17749
base,svm,drop_COL_fcy_status,1,19449,0.11,0.2613946627280268,0.14471140105780061,0.3200731595793324,0.21406727828746178,0.6340579710144928,350,1285,202,17612
base,svm,drop_COL_track_category,1,19449,0.09999999999999999,0.24681309876168708,0.1527406244608174,0.2958477508650519,0.1943181818181818,0.6195652173913043,342,1418,210,17479
base,svm,drop_COL_tyre_change_pursuer,1,19449,0.11,0.25577799799518924,0.14939502131547186,0.3147982062780269,0.20917759237187128,0.6358695652173914,351,1327,201,17570
base,svm,drop_COL_close_ahead,1,19449,0.11,0.2568956266721682,0.15388979351051574,0.3183294663573086,0.21397379912663755,0.6213768115942029,343,1260,209,17637
base,svm,drop_COL_gap_behind_s,1,19449,0.11,0.25846918446666534,0.1468988448421677,0.3151515151515151,0.21217827997489014,0.6123188405797102,338,1255,214,17642
base,svm,drop_COL_n_cars_within_5s_ahead,1,19449,0.11,0.23941134637129688,0.15992101108710335,0.3123877917414722,0.20763723150357996,0.6304347826086957,348,1328,204,17569
base,svm,drop_COL_tyre_age_diff_to_ahead,1,19449,0.13,0.25674001434837623,0.15295270070517814,0.3330049261083744,0.22868741542625168,0.6123188405797102,338,1140,214,17757
base,svm,drop_COL_rejoin_gap_ahead_est_s,1,19449,0.11,0.2663292284824912,0.14348313815792543,0.3280726924916308,0.22287199480181935,0.6213768115942029,343,1196,209,17701
base,svm,drop_COL_rejoin_gap_behind_est_s,1,19449,0.11,0.25923765377291436,0.14480103952535936,0.31948291782086796,0.21437422552664187,0.6268115942028986,346,1268,206,17629
base,svm,drop_UNDERCUT_PACK,1,19449,0.12,0.24268617478240312,0.18291696075167407,0.3239171374764595,0.21882951653944022,0.6231884057971014,344,1228,208,17669
