mode,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
meta,drop_lstm,1,19486,0.5103244168703778,0.0666202413085643,0.4946058091286307,0.430635838150289,0.580896686159844,0.24000000000000002
meta,drop_gru,1,19486,0.5232402120650509,0.06584203208771741,0.5058823529411764,0.4446085672082718,0.5867446393762183,0.25
meta,drop_hybrid_vse,1,19486,0.5214872958030685,0.06570515369212594,0.48989113530326595,0.407503234152652,0.6140350877192983,0.22
meta,drop_all_tabular_bases,1,19486,0.5303123517013008,0.06519206445525856,0.5066666666666667,0.46568627450980393,0.5555555555555556,0.26
meta,drop_all_sequential_bases,1,19486,0.3394652107033249,0.08243382845115535,0.34338358458961477,0.3010279001468429,0.3996101364522417,0.21000000000000002
meta,drop_all_race_context_KEEP_ONLY_PREDS,1,19486,0.5266983727573393,0.06345415679421701,0.5181434599156118,0.4568452380952381,0.5984405458089669,0.22
meta,baseline_full,2,19357,0.42302976360082145,0.07743774799384366,0.4491525423728814,0.39730134932533734,0.5165692007797271,0.29000000000000004
meta,drop_rf,2,19357,0.43029576692708316,0.07707389994630896,0.4461805555555556,0.40219092331768386,0.5009746588693957,0.31
meta,drop_xgb,2,19357,0.40789719412412767,0.0806087780504474,0.41420118343195267,0.33373063170441003,0.5458089668615984,0.23
meta,drop_svm,2,19357,0.42409631602252157,0.07737827155224414,0.43050039714058774,0.3632707774798928,0.5282651072124757,0.25
meta,drop_ann,2,19357,0.4262964946369706,0.07737246576648261,0.44313395113732096,0.39020771513353114,0.5126705653021443,0.29000000000000004
meta,drop_tcn,2,19357,0.4191494147143399,0.0772103237431333,0.4448336252189142,0.40381558028616854,0.4951267056530214,0.3
meta,drop_tcn_gru,2,19357,0.4180785680904562,0.07706016303565276,0.44193548387096776,0.3768913342503439,0.5341130604288499,0.24000000000000002
meta,drop_lstm,2,19357,0.41457659976804717,0.07884179878268674,0.40797546012269936,0.336283185840708,0.5185185185185185,0.24000000000000002
meta,drop_gru,2,19357,0.4036946937982942,0.07909898245821224,0.43564356435643564,0.40468227424749165,0.47173489278752434,0.32
meta,drop_hybrid_vse,2,19357,0.4141140050695915,0.07934457726316069,0.43357783211083945,0.37254901960784315,0.5185185185185185,0.27
meta,drop_all_tabular_bases,2,19357,0.43444963755938626,0.07930752122323435,0.4313421256788208,0.3582474226804124,0.5419103313840156,0.25
meta,drop_all_sequential_bases,2,19357,0.26792626700675376,0.0886688656014554,0.3299908842297174,0.3099315068493151,0.35282651072124754,0.21000000000000002
meta,drop_all_race_context_KEEP_ONLY_PREDS,2,19357,0.3939915820505366,0.07745222224936557,0.44427244582043346,0.3684210526315789,0.5594541910331384,0.23
meta,baseline_full,3,19414,0.5128117678592279,0.05809962340618466,0.5225225225225225,0.5144124168514412,0.5308924485125858,0.26
meta,drop_rf,3,19414,0.5140298403864509,0.058052310040592074,0.5137816979051819,0.4957446808510638,0.5331807780320366,0.25
