mode,model_kind,ablation_name,fold_id,n_test_seqs,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
seq,tcn,drop_G_race_control,2,19527,0.9400000000000001,0.6748254955805318,0.10211592096050598,0.6511156186612576,0.6511156186612576,0.6511156186612576,321,172,172,18862
seq,tcn,drop_G_track,2,19527,0.89,0.6443340499931266,0.10240363328965056,0.6140177690029615,0.5980769230769231,0.6308316430020284,311,209,182,18825
seq,tcn,drop_G_tyre_state,2,19527,0.98,0.6251449634269182,0.12419360151376943,0.6330777656078861,0.6880952380952381,0.5862068965517241,289,131,204,18903
seq,tcn,drop_G_strategy_history,2,19527,0.9500000000000001,0.6422985131435764,0.12600379632186048,0.6398429833169774,0.6197718631178707,0.6612576064908722,326,200,167,18834
seq,tcn,drop_G_pace,2,19527,0.78,0.10149363886041056,0.3672628740340343,0.17357386640663092,0.11424903722721438,0.36105476673427994,178,1380,315,17654
seq,tcn,drop_G_traffic_proximity,2,19527,0.9400000000000001,0.7036113170986884,0.11313096207643439,0.6534090909090909,0.6127886323268206,0.6997971602434077,345,218,148,18816
seq,tcn,drop_G_undercut_defence,2,19527,0.93,0.666621333129964,0.11462021121757189,0.6421471172962226,0.6296296296296297,0.6551724137931034,323,190,170,18844
seq,tcn,drop_G_undercut_window,2,19527,0.93,0.6631252192074294,0.1068442726733691,0.6564729867482161,0.6598360655737705,0.6531440162271805,322,166,171,18868
seq,tcn,drop_G_weather,2,19527,0.9500000000000001,0.6705833461848671,0.10550530563185458,0.6529006882989183,0.6335877862595419,0.6734279918864098,332,192,161,18842
seq,tcn,drop_ENGINEERED_ALL,2,19527,0.91,0.6670621742475905,0.09695728724610295,0.6395233366434955,0.6264591439688716,0.6531440162271805,322,192,171,18842
seq,tcn,drop_UNDERCUT_PACK,2,19527,0.92,0.6395510744947116,0.10247911657572178,0.6274509803921569,0.6072106261859582,0.6490872210953347,320,207,173,18827
seq,tcn,drop_COL_fcy_status,2,19527,0.9400000000000001,0.6748254955805318,0.10211592096050598,0.6511156186612576,0.6511156186612576,0.6511156186612576,321,172,172,18862
seq,tcn,drop_COL_track_category,2,19527,0.97,0.6214211938601957,0.12523315359075451,0.6184738955823293,0.6123260437375746,0.6247464503042597,308,195,185,18839
seq,tcn,drop_COL_tyre_change_pursuer,2,19527,0.9400000000000001,0.6912100023270652,0.09918266273405875,0.6666666666666666,0.6742738589211619,0.6592292089249493,325,157,168,18877
seq,tcn,drop_COL_close_ahead,2,19527,0.92,0.6946692005363052,0.10294425024551294,0.6542239685658153,0.6342857142857142,0.6754563894523327,333,192,160,18842
seq,tcn,drop_COL_gap_behind_s,2,19527,0.9600000000000001,0.6989866706291982,0.1448106186096462,0.6634429400386848,0.634011090573013,0.6957403651115619,343,198,150,18836
seq,tcn,drop_COL_n_cars_within_5s_ahead,2,19527,0.86,0.6905341343602834,0.09521697283432294,0.6524685382381413,0.6240740740740741,0.6835699797160243,337,203,156,18831
seq,tcn,drop_COL_tyre_age_diff_to_ahead,2,19527,0.9500000000000001,0.6441137972406338,0.11915882396779849,0.6350806451612904,0.6312625250501002,0.6389452332657201,315,184,178,18850
seq,tcn,drop_COL_rejoin_gap_ahead_est_s,2,19527,0.87,0.6698277908517778,0.09385532959584975,0.6542239685658153,0.6342857142857142,0.6754563894523327,333,192,160,18842
seq,tcn,drop_COL_rejoin_gap_behind_est_s,2,19527,0.91,0.6585992481889794,0.1194920799563253,0.6389713155291791,0.6235521235521235,0.6551724137931034,323,195,170,18839
seq,tcn,baseline_full,3,19436,0.9400000000000001,0.4211407291932595,0.2661953767890545,0.4543147208121827,0.3296500920810313,0.7306122448979592,358,728,132,18218
seq,tcn,drop_G_race_phase,3,19436,0.9500000000000001,0.573854988414524,0.20763570777340484,0.5454545454545454,0.4358974358974359,0.7285714285714285,357,462,133,18484
seq,tcn,drop_G_race_control,3,19436,0.8400000000000001,0.5801917528164954,0.11493159731168323,0.5763324299909666,0.5170178282009724,0.6510204081632653,319,298,171,18648
seq,tcn,drop_G_track,3,19436,0.92,0.6195121502428363,0.15415357257252366,0.6049046321525886,0.5450081833060556,0.6795918367346939,333,278,157,18668
seq,tcn,drop_G_tyre_state,3,19436,0.9600000000000001,0.6537997212500547,0.14061048599098877,0.6245059288537549,0.6053639846743295,0.6448979591836734,316,206,174,18740
seq,tcn,drop_G_strategy_history,3,19436,0.88,0.5379975666558562,0.15120963641735816,0.5261382799325464,0.4482758620689655,0.636734693877551,312,384,178,18562
seq,tcn,drop_G_pace,3,19436,0.45,0.07992250561075974,0.2779166056160327,0.14072494669509594,0.08519793459552495,0.40408163265306124,198,2126,292,16820
seq,tcn,drop_G_traffic_proximity,3,19436,0.91,0.6913138264727546,0.12603171699902016,0.647636039250669,0.5752773375594294,0.7408163265306122,363,268,127,18678
seq,tcn,drop_G_undercut_defence,3,19436,0.9500000000000001,0.5932846617492223,0.1699362631298814,0.5932621199671323,0.4965612104539202,0.736734693877551,361,366,129,18580
seq,tcn,drop_G_undercut_window,3,19436,0.92,0.5695288075851808,0.18071994190667756,0.5338461538461539,0.4283950617283951,0.7081632653061225,347,463,143,18483
seq,tcn,drop_G_weather,3,19436,0.92,0.5698273468000055,0.13191029205210528,0.5880039331366765,0.5673624288425048,0.610204081632653,299,228,191,18718
seq,tcn,drop_ENGINEERED_ALL,3,19436,0.9400000000000001,0.6248458383177399,0.13689340496544913,0.6239316239316239,0.5367647058823529,0.7448979591836735,365,315,125,18631
seq,tcn,drop_UNDERCUT_PACK,3,19436,0.87,0.6140700481361587,0.1298794766736224,0.6347746090156394,0.5778894472361809,0.7040816326530612,345,252,145,18694
seq,tcn,drop_COL_fcy_status,3,19436,0.8400000000000001,0.5801917528164954,0.11493159731168323,0.5763324299909666,0.5170178282009724,0.6510204081632653,319,298,171,18648
seq,tcn,drop_COL_track_category,3,19436,0.9400000000000001,0.577580685732567,0.14925394114096774,0.5949008498583569,0.5536028119507909,0.6428571428571429,315,254,175,18692
seq,tcn,drop_COL_tyre_change_pursuer,3,19436,0.9600000000000001,0.5428928808328425,0.1768946827055249,0.5716768027801912,0.4977307110438729,0.6714285714285714,329,332,161,18614
seq,tcn,drop_COL_close_ahead,3,19436,0.9500000000000001,0.5811760459510311,0.2125754506506733,0.5416342412451361,0.4377358490566038,0.710204081632653,348,447,142,18499
seq,tcn,drop_COL_gap_behind_s,3,19436,0.9,0.4462915789214867,0.19607465211212244,0.5077399380804953,0.4089775561097257,0.6693877551020408,328,474,162,18472
seq,tcn,drop_COL_n_cars_within_5s_ahead,3,19436,0.93,0.577881812551192,0.1916004860596388,0.5071915215745647,0.40312876052948254,0.6836734693877551,335,496,155,18450
