ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
drop_G_pace,0.09569989982818186,0.02062202094396823,0.34913190162630026,0.059413303971927345,0.16274834429798055,0.025381243109943358,0.10495487239055432,0.3681278583546246,189.0,1646.0,326.4,17326.8,-0.46676520124591614,0.17745721723213131,-0.4165177720358767,0.46676520124591614,0.17745721723213131
drop_G_race_control,0.6069357977626743,0.06984352613233304,0.12592059085867163,0.035018008878250996,0.6266783007437204,0.03759466400335796,0.614311275877055,0.6421974045439397,330.4,211.0,185.0,18761.8,0.04447069668857628,-0.04575409353549731,0.04741218440986317,-0.04447069668857628,-0.04575409353549731
drop_G_race_phase,0.5826242394361975,0.044001783236050675,0.14285584765053014,0.041414834400809494,0.5989868703699639,0.03696931865612458,0.5737540395240526,0.6398685005194298,328.6,259.0,186.8,18713.8,0.020159138362099482,-0.028818836743638804,0.019720754036106625,-0.020159138362099482,-0.028818836743638804
drop_G_strategy_history,0.5795127609444176,0.08808209718871234,0.13827432402551712,0.009892221971452436,0.6063277216221342,0.057023699512396414,0.594989015405582,0.6249259855169184,321.2,228.8,194.2,18744.0,0.017047659870319642,-0.03340036036865182,0.027061605288276946,-0.017047659870319642,-0.03340036036865182
drop_G_track,0.6095121632794085,0.02851178032893922,0.1524445606269749,0.04875213772062168,0.6036625726840033,0.013705562828015598,0.6068073311392486,0.6066556929727595,311.4,205.2,204.0,18767.6,0.04704706220531052,-0.019230123767194046,0.02439645635014598,-0.04704706220531052,-0.019230123767194046
drop_G_traffic_proximity,0.616205761240596,0.09504202001488975,0.1492288817673417,0.03522655922027584,0.6244125238296989,0.042670006840814755,0.6265579088767733,0.6323805024295795,324.4,201.4,191.0,18771.4,0.05374066016649803,-0.022445802626827244,0.045146407495841645,-0.05374066016649803,-0.022445802626827244
drop_G_tyre_state,0.6114246205506151,0.03814018501768668,0.1474651505885265,0.02131255600901808,0.6267318387119584,0.010865325708548893,0.6608231034056011,0.5983217397099799,307.8,159.6,207.6,18813.2,0.04895951947651711,-0.024209533805642447,0.047465722378101094,-0.04895951947651711,-0.024209533805642447
drop_G_undercut_defence,0.6109203298102912,0.05613495437470979,0.1400418604370861,0.03408945785730968,0.6215358574531105,0.03274893956193012,0.6082239819622733,0.6448707818699149,331.2,222.8,184.2,18750.0,0.048455228736193234,-0.031632823957082834,0.04226974111925319,-0.048455228736193234,-0.031632823957082834
drop_G_undercut_window,0.6143551713373978,0.04648808921797307,0.14683498389109487,0.03667620710022876,0.615244247286734,0.055012460215689354,0.6086827167609952,0.6368364091705335,327.2,231.0,188.2,18741.8,0.05189007026329984,-0.024839700503074075,0.03597813095287672,-0.05189007026329984,-0.024839700503074075
drop_G_weather,0.5979737033804025,0.06398642711708011,0.13217962932279564,0.028389975690137174,0.6151500096946673,0.043498602950447864,0.6293152341926065,0.6046807453194335,310.2,183.6,205.2,18789.2,0.03550860230630448,-0.0394950550713733,0.03588389336080999,-0.03550860230630448,-0.0394950550713733
