race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
21,lstm,tcn_gru,558,0.7563723292186079,0.6685201544827583,0.08960573476702509,50,7,43
21,tcn,tcn_gru,558,0.8241449420478504,0.7805152158085096,0.07168458781362007,40,12,28
22,gru,lstm,546,0.8219515959096607,0.7372976318416835,0.01098901098901099,6,3,3
22,gru,tcn,546,0.6160682532281854,0.7836479137319416,0.08241758241758242,45,3,42
22,gru,tcn_gru,546,0.6146736998770718,0.6232721608096882,0.09706959706959707,53,3,50
22,lstm,tcn,546,0.647325627556299,0.7681721394852233,0.08608058608058608,47,4,43
22,lstm,tcn_gru,546,0.6483589815774421,0.7484493132950941,0.09340659340659341,51,2,49
22,tcn,tcn_gru,546,0.7245059644895774,0.7922110963521156,0.0989010989010989,54,23,31
23,gru,lstm,576,0.7790744258253117,0.7229602767940121,0.05381944444444445,31,8,23
23,gru,tcn,576,0.6563203941209692,0.6181539949262804,0.03819444444444445,22,22,0
23,gru,tcn_gru,576,0.6208475638853056,0.4746455931479667,0.03993055555555555,23,21,2
23,lstm,tcn,576,0.5785326470103024,0.706165322884485,0.0642361111111111,37,37,0
23,lstm,tcn_gru,576,0.5541507177129827,0.625657197397835,0.0625,36,35,1
23,tcn,tcn_gru,576,0.9090189147688814,0.5958945570542286,0.005208333333333333,3,0,3
25,gru,lstm,508,0.8367172017143649,0.7731659921533536,0.03937007874015748,20,16,4
25,gru,tcn,508,0.7688134328512543,0.6109302919713708,0.04330708661417323,22,14,8
25,gru,tcn_gru,508,0.7308734286898673,0.4979009428845749,0.051181102362204724,26,13,13
25,lstm,tcn,508,0.8439285924438518,0.7690206026417098,0.031496062992125984,16,5,11
25,lstm,tcn_gru,508,0.8100869242669431,0.6621454914827153,0.03543307086614173,18,3,15
25,tcn,tcn_gru,508,0.8014764020045745,0.6890498355693587,0.03543307086614173,18,6,12
26,gru,lstm,570,0.8317602033777215,0.8391200763443734,0.04912280701754386,28,25,3
26,gru,tcn,570,0.6634879367553248,0.5436913917053738,0.06491228070175438,37,29,8
26,gru,tcn_gru,570,0.6778718588128181,0.5598818159035983,0.06666666666666667,38,28,10
26,lstm,tcn,570,0.7493930306405558,0.5944121258088142,0.03684210526315789,21,10,11
26,lstm,tcn_gru,570,0.7790146614847436,0.6422808642880273,0.042105263157894736,24,10,14
26,tcn,tcn_gru,570,0.8262167161487834,0.656069181661475,0.02982456140350877,17,7,10
27,gru,lstm,440,0.9015876982105513,0.8290729337914499,0.013636363636363636,6,3,3
27,gru,tcn,440,0.8170195052157534,0.6824356249022698,0.038636363636363635,17,6,11
27,gru,tcn_gru,440,0.7900423181787778,0.6765435020560304,0.038636363636363635,17,6,11
27,lstm,tcn,440,0.8347986073693752,0.7370610948873233,0.038636363636363635,17,6,11
27,lstm,tcn_gru,440,0.8047176245474825,0.7908940175780396,0.038636363636363635,17,6,11
27,tcn,tcn_gru,440,0.7565906764095338,0.6890363351801685,0.05,22,11,11
28,gru,lstm,709,0.9668945462685311,0.8472165834287597,0.019746121297602257,14,7,7
28,gru,tcn,709,0.7389683775484527,0.40196259193178724,0.05218617771509168,37,32,5
28,gru,tcn_gru,709,0.7637386249978662,0.4300404949358603,0.05500705218617771,39,30,9
28,lstm,tcn,709,0.7228969051379276,0.504506463129137,0.04936530324400564,35,31,4
28,lstm,tcn_gru,709,0.7534907986426054,0.5635709886966367,0.05218617771509168,37,29,8
28,tcn,tcn_gru,709,0.8506524020702843,0.388285290139633,0.02538787023977433,18,6,12
29,gru,lstm,520,0.8611398781397659,0.8352124936738783,0.05576923076923077,29,17,12
29,gru,tcn,520,0.7150829367840608,0.7321873061091769,0.10384615384615385,54,36,18
29,gru,tcn_gru,520,0.7558285915808484,0.7034443117819904,0.0673076923076923,35,25,10
29,lstm,tcn,520,0.71819423626119,0.7513279947837767,0.09038461538461538,47,30,17
29,lstm,tcn_gru,520,0.7408170582256819,0.6838187840362404,0.07307692307692308,38,24,14
29,tcn,tcn_gru,520,0.6809972261600279,0.737137682860115,0.08269230769230769,43,20,23
30,gru,lstm,694,0.9630242315585082,0.7837858310978375,0.002881844380403458,2,1,1
30,gru,tcn,694,0.9581694302898038,0.5357990160138069,0.0,0,0,0
30,gru,tcn_gru,694,0.961774405356792,0.3117396318358316,0.0,0,0,0
30,lstm,tcn,694,0.9376669863299323,0.588149156560825,0.002881844380403458,2,1,1
30,lstm,tcn_gru,694,0.9392264381986404,0.3605359194810401,0.002881844380403458,2,1,1
30,tcn,tcn_gru,694,0.9971618447082952,0.5059473840142678,0.0,0,0,0
31,gru,lstm,555,0.8799280240447043,0.8181387761290624,0.012612612612612612,7,6,1
31,gru,tcn,555,0.8270133593803726,0.6952301365074396,0.012612612612612612,7,5,2
31,gru,tcn_gru,555,0.7939406753330671,0.5331392218647757,0.014414414414414415,8,7,1
31,lstm,tcn,555,0.9140796377797787,0.6504238700950645,0.007207207207207207,4,1,3
31,lstm,tcn_gru,555,0.9455140421397346,0.63046754517549,0.0018018018018018018,1,1,0
31,tcn,tcn_gru,555,0.9147995628062942,0.6680406791748764,0.009009009009009009,5,4,1
32,gru,lstm,525,0.8408329840921711,0.8196152937127598,0.01904761904761905,10,10,0
32,gru,tcn,525,0.7221278721388424,0.5788999506574174,0.02095238095238095,11,11,0
32,gru,tcn_gru,525,0.7000756749099544,0.22017755036882547,0.022857142857142857,12,11,1
32,lstm,tcn,525,0.9111844601991688,0.5115166417189463,0.0019047619047619048,1,1,0
32,lstm,tcn_gru,525,0.8704336276376375,0.29877025015445474,0.0038095238095238095,2,1,1
32,tcn,tcn_gru,525,0.95305698965246,0.37758221345020754,0.0019047619047619048,1,0,1
33,gru,lstm,640,0.7348800835887592,0.7037379241648541,0.1921875,123,25,98
33,gru,tcn,640,0.7588402284717852,0.7148216914592077,0.1390625,89,63,26
33,gru,tcn_gru,640,0.7234449599595366,0.7074816619425343,0.1640625,105,53,52
