race_id,row_id,y_true,y_pred,p_max,correct,explained_class,rank,feature,shap_signed,shap_abs,feature_value,group,direction
24,481,1,0,0.7172508835792542,0,HARD,3,p_ann_c1,-0.25242120027542114,0.25242120027542114,0.25464901328086853,OTHER,away_HARD
24,481,1,0,0.7172508835792542,0,HARD,4,p_ann_c4,0.2408614605665207,0.2408614605665207,0.1030551865696907,OTHER,push_HARD
24,481,1,0,0.7172508835792542,0,HARD,5,race_progress,0.20666418969631195,0.20666418969631195,0.352112676056338,G_race_phase,push_HARD
24,481,1,0,0.7172508835792542,0,HARD,6,p_rf_c3,0.20616745948791504,0.20616745948791504,0.002691524073865735,OTHER,push_HARD
24,471,2,0,0.6463006138801575,0,HARD,1,race_track,1.1413415670394897,3.9078290462493896,Austrian Grand Prix,G_track,push_HARD
24,471,2,0,0.6463006138801575,0,HARD,2,p_ann_c1,-0.2693321406841278,0.2693321406841278,0.24702712893486023,OTHER,away_HARD
24,471,2,0,0.6463006138801575,0,HARD,3,p_svm_c0,0.2533206045627594,0.2533206045627594,0.5983993145613895,OTHER,push_HARD
24,471,2,0,0.6463006138801575,0,HARD,4,p_xgb_c0,0.23985451459884644,0.23985451459884644,0.6253275275230408,OTHER,push_HARD
24,471,2,0,0.6463006138801575,0,HARD,5,p_ann_c3,0.1967262476682663,0.1967262476682663,0.16380566358566284,OTHER,push_HARD
24,471,2,0,0.6463006138801575,0,HARD,6,race_progress,-0.19279292225837708,0.19279292225837708,0.647887323943662,G_race_phase,away_HARD
53,1207,0,0,0.9808293581008911,1,HARD,1,race_track,1.1119071245193481,3.6354687213897705,Portuguese Grand Prix,G_track,push_HARD
53,1207,0,0,0.9808293581008911,1,HARD,2,p_xgb_c0,0.7205473184585571,0.7205473184585571,0.9707450866699219,OTHER,push_HARD
53,1207,0,0,0.9808293581008911,1,HARD,3,p_svm_c0,0.24865607917308807,0.24865607917308807,0.9452982806176916,OTHER,push_HARD
53,1207,0,0,0.9808293581008911,1,HARD,4,p_ann_c1,-0.24503102898597717,0.24503102898597717,0.19257217645645142,OTHER,away_HARD
53,1207,0,0,0.9808293581008911,1,HARD,5,race_progress,0.22339247167110443,0.22339247167110443,0.4090909090909091,G_race_phase,push_HARD
