feature,mean_abs_shap,class,rank,group
row_id_a2a0ef6fb254cb11367a38caced96ce7735af611,0.0,HARD,180,OTHER
row_id_a2a3bc90e956dc0ca2acfc40388c8c18fb8a24cd,0.0,HARD,181,OTHER
row_id_a2b8e3a48e9c85a32a0a49be110d11d9c7da8cc4,0.0,HARD,182,OTHER
row_id_a2bea0ddf472034ab09f687d8d67ab1a98fad892,0.0,HARD,183,OTHER
row_id_a2c68ccde103617211b81165bb481bacf8202565,0.0,HARD,184,OTHER
row_id_a2e8b439d2acb760a48f47d8194c05f0ddefc18d,0.0,HARD,185,OTHER
row_id_a2f8079f381cb05e98e80ed060f04c84be76e61b,0.0,HARD,186,OTHER
row_id_a304b33b4dec9ca96c3b6addda5749da39ce784e,0.0,HARD,187,OTHER
row_id_a3eb11c11d634572b6d4fe0db5370f3c57cc7321,0.0,HARD,188,OTHER
row_id_a314801844c0ecd7ef3cb69b6116ac69cca433a0,0.0,HARD,189,OTHER
row_id_a31853526ae825f2f17b7db3a33dcbe659364513,0.0,HARD,190,OTHER
row_id_a318603370eb5efac17e12c79817ca328eba2da0,0.0,HARD,191,OTHER
row_id_a31aeb003baa568000090562c27bd6777b190cbc,0.0,HARD,192,OTHER
row_id_a3250378eefb383f303dc52e0c7e84771a26483b,0.0,HARD,193,OTHER
row_id_a33cb9b0f2ba07ee228409eb85bced6a35782143,0.0,HARD,194,OTHER
row_id_a34d01f25df32387b25afd1bcbcdf45ebc79f0a7,0.0,HARD,195,OTHER
row_id_a355f9a32b0ec3e4a4c9c2fc61787debd05b0115,0.0,HARD,196,OTHER
row_id_a36002fb92347bae8cb4b0ff1009cb9f1c6b5a6b,0.0,HARD,197,OTHER
row_id_a3745d642d3ee131225d4660ca7827e04be51bf6,0.0,HARD,198,OTHER
row_id_a39a2f44d5b26a5149569f024900643c4174346a,0.0,HARD,199,OTHER
row_id_a3a5d00a52f552c3441493c62418ddea6eecb68a,0.0,HARD,200,OTHER
row_id_a3b2de8b8108b735c48987a12c1c232be1b193c8,0.0,HARD,201,OTHER
row_id_a3b522ce77127cc3210f211b89758517b50b27b6,0.0,HARD,202,OTHER
row_id_a234e6fc662a1aebb832594198bfb54ed530310e,0.0,HARD,203,OTHER
row_id_a210af28c0b5aae84e576aec4f17aa85eb923d6d,0.0,HARD,204,OTHER
row_id_a20bf1294f6d62ba006ebd24b865409aeac24ba3,0.0,HARD,205,OTHER
row_id_a2020a00e6a8cd39b7d28c44fafd062097d96e08,0.0,HARD,206,OTHER
row_id_a0781a49acb05c7987c0b6b8248dc9c0497265bc,0.0,HARD,207,OTHER
row_id_a09f497a17857b670bec70a4d63fe2c6b477a1dc,0.0,HARD,208,OTHER
row_id_a0a0cc577bd65ddf47e3eb638bf9caf1cd6c66f0,0.0,HARD,209,OTHER
row_id_a0b5996714842e729e7f04bd6220c492dda159b3,0.0,HARD,210,OTHER
row_id_a0bce3366620bbababa4bd1aff03f6d06242a5ac,0.0,HARD,211,OTHER
row_id_a0cde2a7a2dd184f8323217a65b9e2cbba20653b,0.0,HARD,212,OTHER
row_id_a0d98c3ca6d99337342dc51d556e3f7638b55b7e,0.0,HARD,213,OTHER
row_id_a0dca7c3ce6d7a379734d5c15056ebb21784e19d,0.0,HARD,214,OTHER
row_id_a0e23b2258a74015c10bea6ecb68051899c3ee72,0.0,HARD,215,OTHER
row_id_a0e2a0728386b16ef2e2f13fb15cd6be9cc9beaa,0.0,HARD,216,OTHER
row_id_a10e206ccc71e58dda7fb9797dee806912ffb908,0.0,HARD,217,OTHER
row_id_a115555de4f102bd0480ecf6a6ebfd4225220866,0.0,HARD,218,OTHER
row_id_a11ad0cfc5df6429a161a4abf011a375e0adf9f0,0.0,HARD,219,OTHER
row_id_a127a881dcfc7ce6ca305e6c8ee28b9985538118,0.0,HARD,220,OTHER
row_id_a1396ce552a46539edbf7865a437d38f1b35d8a5,0.0,HARD,221,OTHER
row_id_a140c1769dc8a1ba495a1f1ca9554d443b67f6aa,0.0,HARD,222,OTHER
