ablation_name,meta_fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
drop_p_ann,1,19541,0.31,0.5357346003708261,0.07148555694494721,0.5484147386461011,0.5169628432956381,0.583941605839416,320,299,228,18694
drop_tcn_proba,1,19541,0.29000000000000004,0.337488608948199,0.09118066933288882,0.4039785768936496,0.34782608695652173,0.48175182481751827,264,495,284,18498
drop_tcn_effective_len,1,19541,0.34,0.5237917906704085,0.07112494516954326,0.5505226480836237,0.5266666666666666,0.5766423357664233,316,284,232,18709
drop_G_race_phase,1,19541,0.31,0.5557245396473397,0.0675471197028964,0.5558441558441558,0.528830313014827,0.5857664233576643,321,286,227,18707
drop_G_race_control,1,19541,0.29000000000000004,0.5415344187017,0.07055789621665885,0.5507976490344249,0.5101088646967341,0.5985401459854015,328,315,220,18678
drop_G_track,1,19541,0.32,0.5814874112374294,0.06630302503338356,0.5716783216783217,0.5486577181208053,0.5967153284671532,327,269,221,18724
drop_G_tyre,1,19541,0.28,0.542672090050329,0.07028342016698344,0.5488215488215489,0.509375,0.5948905109489051,326,314,222,18679
drop_G_traffic,1,19541,0.3,0.5009755093682822,0.07442161456723063,0.5477386934673367,0.5061919504643962,0.5967153284671532,327,319,221,18674
drop_G_strategy_history,1,19541,0.32,0.5450863237144496,0.07027129782358159,0.5562231759656653,0.5251215559157212,0.5912408759124088,324,293,224,18700
drop_G_pace,1,19541,0.29000000000000004,0.5120692405675441,0.07199841000928521,0.5632858340318525,0.5209302325581395,0.6131386861313869,336,309,212,18684
drop_G_weather,1,19541,0.3,0.5458796357394217,0.0701405235798893,0.5581000848176421,0.5213946117274167,0.6003649635036497,329,302,219,18691
drop_G_tyre_and_G_race_control,1,19541,0.28,0.543382918616371,0.0700867017740932,0.548922056384743,0.5030395136778115,0.6040145985401459,331,327,217,18666
drop_G_tyre_and_G_traffic,1,19541,0.32,0.4949609710346037,0.07554225228725496,0.5459227467811159,0.5153970826580226,0.5802919708029197,318,299,230,18694
drop_G_weather_and_G_tyre,1,19541,0.3,0.5458369693522717,0.07055185121889318,0.5507745266781411,0.5211726384364821,0.583941605839416,320,294,228,18699
baseline_full,2,19260,0.27,0.5861767919159109,0.07019217469748439,0.5502555366269165,0.5126984126984127,0.59375,323,307,221,18409
base_only,2,19260,0.28,0.6069580708750615,0.06739395493031929,0.6082677165354331,0.6546610169491526,0.5680147058823529,309,163,235,18553
raw_only,2,19260,0.22,0.22550381029025227,0.10817225397014545,0.37888198757763975,0.2861163227016886,0.5606617647058824,305,761,239,17955
classical_only,2,19260,0.25,0.352695055226641,0.08859916969555488,0.41070317361543246,0.3104421448730009,0.6066176470588235,330,733,214,17983
tcn_only,2,19260,0.29000000000000004,0.6006159267995526,0.07023392327099426,0.602711157455683,0.6963855421686747,0.53125,289,126,255,18590
drop_p_svm,2,19260,0.3,0.5680555789698534,0.07122606677447371,0.5505716798592788,0.5278246205733558,0.5753676470588235,313,280,231,18436
drop_p_rf,2,19260,0.29000000000000004,0.5836694483527809,0.0696491571937874,0.5670840787119857,0.5522648083623694,0.5827205882352942,317,257,227,18459
drop_p_xgb,2,19260,0.32,0.5762405300324976,0.06925882848165443,0.5700934579439252,0.5798479087452472,0.5606617647058824,305,221,239,18495
drop_p_ann,2,19260,0.29000000000000004,0.6053472655348331,0.0689988044936807,0.5508474576271186,0.5110062893081762,0.5974264705882353,325,311,219,18405
drop_tcn_proba,2,19260,0.28,0.2782936484850815,0.11836218557995191,0.35153256704980845,0.23769430051813473,0.6746323529411765,367,1177,177,17539
drop_tcn_effective_len,2,19260,0.3,0.5710595096294093,0.07171907714564643,0.5540308747855918,0.5192926045016077,0.59375,323,299,221,18417
drop_G_race_phase,2,19260,0.28,0.5992178390535761,0.06848674630814547,0.562655601659751,0.5128593040847201,0.6231617647058824,339,322,205,18394
drop_G_race_control,2,19260,0.28,0.572208203179878,0.07187711844579016,0.5434782608695652,0.49846625766871167,0.5974264705882353,325,327,219,18389
drop_G_track,2,19260,0.3,0.6187689545128986,0.06731193102658384,0.5741444866920152,0.594488188976378,0.5551470588235294,302,206,242,18510
drop_G_tyre,2,19260,0.3,0.5853048141503625,0.069593520091817,0.568609865470852,0.5551663747810858,0.5827205882352942,317,254,227,18462
drop_G_traffic,2,19260,0.31,0.5756609115652389,0.07274425290409638,0.5503943908851884,0.525963149078727,0.5772058823529411,314,283,230,18433
drop_G_strategy_history,2,19260,0.32,0.5670805317059825,0.0725106190164571,0.5551663747810858,0.5301003344481605,0.5827205882352942,317,281,227,18435
drop_G_pace,2,19260,0.28,0.5736546168653183,0.07289614379618682,0.568609865470852,0.5551663747810858,0.5827205882352942,317,254,227,18462
drop_G_weather,2,19260,0.31,0.5862744779369758,0.06998432096286059,0.566607460035524,0.5481099656357389,0.5863970588235294,319,263,225,18453
drop_G_tyre_and_G_race_control,2,19260,0.33,0.5818948761329864,0.07018109177498096,0.5722171113155474,0.572744014732965,0.5716911764705882,311,232,233,18484
drop_G_tyre_and_G_traffic,2,19260,0.28,0.5678288567893569,0.07299280169711347,0.5521367521367522,0.5159744408945687,0.59375,323,303,221,18413
drop_G_weather_and_G_tyre,2,19260,0.31,0.5816601344035518,0.06984809993232387,0.5716829919857525,0.5544041450777202,0.5900735294117647,321,258,223,18458
baseline_full,3,19399,0.31,0.5428426747369252,0.07897216494746431,0.5018341892883346,0.44940867279894875,0.5681063122923588,342,419,260,18378
base_only,3,19399,0.27,0.5880550876571189,0.07265136273608215,0.5403158769742311,0.540765391014975,0.5398671096345515,325,276,277,18521
raw_only,3,19399,0.21000000000000002,0.3491865201018409,0.09354584359419375,0.3849114703618168,0.3586800573888092,0.4152823920265781,250,447,352,18350
classical_only,3,19399,0.24000000000000002,0.3044825965065685,0.09951418731702774,0.3539147040101846,0.2868937048503612,0.46179401993355484,278,691,324,18106
tcn_only,3,19399,0.39,0.5705394177245697,0.07908741214572641,0.5799180327868853,0.7566844919786097,0.4700996677740864,283,91,319,18706
drop_p_svm,3,19399,0.33,0.5577698923273885,0.07651881618448013,0.5321543408360129,0.5155763239875389,0.5498338870431894,331,311,271,18486
drop_p_rf,3,19399,0.29000000000000004,0.5605738833950792,0.07666142297067194,0.5147058823529411,0.46174142480211083,0.5813953488372093,350,408,252,18389
drop_p_xgb,3,19399,0.32,0.555732690881747,0.07712984789109546,0.5462046204620462,0.5426229508196722,0.5498338870431894,331,279,271,18518
drop_p_ann,3,19399,0.3,0.5612747727395451,0.07440884048763319,0.5590682196339434,0.56,0.5581395348837209,336,264,266,18533
drop_tcn_proba,3,19399,0.31,0.2969123127269172,0.10969772619002195,0.34080717488789236,0.2773722627737226,0.4418604651162791,266,693,336,18104
drop_tcn_effective_len,3,19399,0.32,0.557028612327715,0.07703685611706404,0.5324980422866092,0.5037037037037037,0.5647840531561462,340,335,262,18462
drop_G_race_phase,3,19399,0.3,0.5560372110905479,0.07732794572506065,0.5143699336772292,0.46225165562913906,0.579734219269103,349,406,253,18391
drop_G_race_control,3,19399,0.33,0.5517478455788601,0.07722859201394303,0.5364291433146517,0.517774343122102,0.5564784053156147,335,312,267,18485
drop_G_track,3,19399,0.31,0.4884059286842897,0.08570548981650984,0.48846675712347354,0.41284403669724773,0.5980066445182725,360,512,242,18285
drop_G_tyre,3,19399,0.31,0.5643475010735577,0.075173148133945,0.5534382767191384,0.5520661157024793,0.5548172757475083,334,271,268,18526
drop_G_traffic,3,19399,0.27,0.5394001398134964,0.07932427049877884,0.4842387659289068,0.40607424071991,0.5996677740863787,361,528,241,18269
drop_G_strategy_history,3,19399,0.33,0.5489166093207672,0.07750404299748723,0.5282714054927302,0.5141509433962265,0.5431893687707641,327,309,275,18488
drop_G_pace,3,19399,0.29000000000000004,0.5326040597907988,0.08106215820860256,0.48725212464589235,0.4246913580246914,0.5714285714285714,344,466,258,18331
drop_G_weather,3,19399,0.3,0.5463131534803773,0.07666837822037116,0.5226209048361935,0.49264705882352944,0.5564784053156147,335,345,267,18452
drop_G_tyre_and_G_race_control,3,19399,0.36000000000000004,0.5658191588324937,0.07496034080680032,0.5668449197860963,0.6115384615384616,0.5282392026578073,318,202,284,18595
drop_G_tyre_and_G_traffic,3,19399,0.33,0.5562562841928302,0.07659736004940294,0.5486284289276808,0.5490848585690515,0.5481727574750831,330,271,272,18526
drop_G_weather_and_G_tyre,3,19399,0.29000000000000004,0.5571696173834239,0.07523204496965577,0.5416666666666666,0.5232198142414861,0.5614617940199336,338,308,264,18489
baseline_full,4,19462,0.31,0.5970493676781989,0.07096802623644652,0.6096959737058341,0.5725308641975309,0.6520210896309314,371,277,198,18616
base_only,4,19462,0.31,0.5913879777543942,0.06794177746415161,0.6138613861386139,0.578538102643857,0.6537785588752196,372,271,197,18622
raw_only,4,19462,0.2,0.34902341742952725,0.08736546743418219,0.41144901610017887,0.41894353369763204,0.40421792618629176,230,319,339,18574
classical_only,4,19462,0.27,0.3839965229407694,0.0841334670081551,0.39050701186623515,0.505586592178771,0.3181019332161687,181,177,388,18716
tcn_only,4,19462,0.36000000000000004,0.6109341237772486,0.06931659066230408,0.6429872495446266,0.667296786389414,0.6203866432337434,353,176,216,18717
drop_p_svm,4,19462,0.32,0.5818703671391934,0.07201440095419893,0.6157676348547718,0.5833333333333334,0.6520210896309314,371,265,198,18628
drop_p_rf,4,19462,0.31,0.6065668207532666,0.0710164943021132,0.6074918566775245,0.5660091047040972,0.655536028119508,373,286,196,18607
drop_p_xgb,4,19462,0.25,0.6086708933562687,0.07031137906653614,0.6071713147410358,0.5553935860058309,0.6695957820738138,381,305,188,18588
drop_p_ann,4,19462,0.29000000000000004,0.6041002832751148,0.07026439109911677,0.6062091503267973,0.566412213740458,0.6520210896309314,371,284,198,18609
drop_tcn_proba,4,19462,0.31,0.36383667818374404,0.08804690782622317,0.40074906367041196,0.4288577154308617,0.37609841827768015,214,285,355,18608
