slice_col,slice_value,ablation_name,fold_id,threshold_used,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN,n_rows,n_pos,pos_rate
slice_wetness_x_fcy,WET×GREEN,stream_p_xgb,0,0.29000000000000004,0.4512484463819949,0.0629108935137037,0.5573770491803278,0.4473684210526316,0.7391304347826086,17,21,6,1162,1206,23,0.019071310116086235
slice_wetness_x_fcy,DRY×GREEN,stream_p_xgb,1,0.28,0.3402224417692799,0.0993508290058702,0.3886861313868613,0.32370820668693007,0.4863013698630137,213,445,225,14190,15073,438,0.029058581569694156
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_p_xgb,1,0.28,0.7109387791844545,0.03989344666742661,0.7244094488188977,0.9387755102040817,0.5897435897435898,46,3,32,3838,3919,78,0.01990303648890023
slice_wetness_x_fcy,WET×GREEN,stream_p_xgb,1,0.28,0.28013291175316135,0.19653540910490758,0.1111111111111111,0.5,0.0625,2,2,30,515,549,32,0.058287795992714025
slice_wetness_x_fcy,DRY×GREEN,stream_p_xgb,2,0.29000000000000004,0.4459725951879999,0.08745856506335041,0.47058823529411764,0.3861003861003861,0.6024096385542169,300,477,198,16183,17158,498,0.029024361813731202
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_p_xgb,2,0.29000000000000004,0.47748251607509945,0.18942148982053772,0.38461538461538464,0.24822695035460993,0.8536585365853658,35,106,6,1033,1180,41,0.03474576271186441
slice_wetness_x_fcy,WET×GREEN,stream_p_xgb,2,0.29000000000000004,0.19586080586080587,0.23313113055171317,0.0641025641025641,0.033112582781456956,1.0,5,146,0,771,922,5,0.005422993492407809
slice_wetness_x_fcy,DRY×GREEN,stream_p_xgb,3,0.28,0.3872061689901646,0.08506792609505182,0.4333958724202627,0.38954468802698144,0.4883720930232558,231,362,242,15872,16707,473,0.0283114862033878
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_p_xgb,3,0.28,0.3704233745285058,0.22077583656046404,0.1696969696969697,0.1037037037037037,0.4666666666666667,14,121,16,655,806,30,0.03722084367245657
slice_wetness_x_fcy,WET×GREEN,stream_p_xgb,3,0.28,0.2048376050126776,0.19096227666616655,0.27419354838709675,0.22818791946308725,0.3434343434343434,34,115,65,1672,1886,99,0.05249204665959703
slice_wetness_x_fcy,DRY×GREEN,stream_p_xgb,4,0.33,0.45558636587711737,0.08286316719289664,0.4566744730679157,0.5508474576271186,0.39,195,159,305,15610,16269,500,0.03073329645337759
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_p_xgb,4,0.33,0.17190707712459458,0.1269851692838786,0.2692307692307692,0.23076923076923078,0.3230769230769231,21,70,44,2098,2233,65,0.02910882221227049
slice_wetness_x_fcy,WET×GREEN,stream_p_xgb,4,0.33,0.04813390313390314,0.047354765878927535,0.06666666666666667,0.038461538461538464,0.25,1,25,3,931,960,4,0.004166666666666667
slice_wetness_x_fcy,DRY×GREEN,stream_tcn_proba,0,0.78,0.7077804284528012,0.09040127893120697,0.672,0.72,0.63,252,98,148,14677,15175,400,0.026359143327841845
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_tcn_proba,0,0.78,0.621462288552082,0.10483649764763511,0.5753424657534246,0.6461538461538462,0.5185185185185185,42,23,39,2977,3081,81,0.02629016553067186
slice_wetness_x_fcy,WET×GREEN,stream_tcn_proba,0,0.78,0.35212361202970166,0.1192352819895681,0.3870967741935484,0.75,0.2608695652173913,6,2,17,1181,1206,23,0.019071310116086235
slice_wetness_x_fcy,DRY×GREEN,stream_tcn_proba,1,0.77,0.547368334863247,0.15741901436166142,0.6240786240786241,0.675531914893617,0.5799086757990868,254,122,184,14513,15073,438,0.029058581569694156
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_tcn_proba,1,0.77,0.6905846554842112,0.1112481700695888,0.6423357664233577,0.7457627118644068,0.5641025641025641,44,15,34,3826,3919,78,0.01990303648890023
