slice_col,slice_value,ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_n_rows,mean_n_pos,mean_pos_rate,ref_PR_AUC,ref_LogLoss,ref_F1,delta_PR_AUC_vs_ref,delta_LogLoss_vs_ref,delta_F1_vs_ref
slice_phase_x_tyre,late×0_5,stream_p_rf,0.04597011552993443,0.022021916625146763,0.05566199111736433,0.018368506632753155,0.00784313725490196,0.01753778805882188,0.005,0.01818181818181818,500.0,5.2,0.009934029895742522,0.023678226341172254,0.14543328754776097,0.0,0.022291889188762175,-0.08977129643039664,0.00784313725490196
slice_phase_x_tyre,late×0_5,stream_p_svm,0.05128187523954162,0.06003691936500654,0.13738668646018487,0.11551982843958009,0.03,0.049590157022027945,0.017332906939558683,0.1393939393939394,500.0,5.2,0.009934029895742522,0.023678226341172254,0.14543328754776097,0.0,0.027603648898369366,-0.0080466010875761,0.03
slice_phase_x_tyre,late×0_5,stream_p_xgb,0.061288945627324176,0.05443301005019566,0.06221647398325887,0.03149405111007157,0.02857142857142857,0.06388765649999399,0.017777777777777778,0.07272727272727272,500.0,5.2,0.009934029895742522,0.023678226341172254,0.14543328754776097,0.0,0.03761071928615192,-0.0832168135645021,0.02857142857142857
slice_phase_x_tyre,late×0_5,stream_tcn_proba,0.023678226341172254,0.013607074977621031,0.14543328754776097,0.038554785514874144,0.0,0.0,0.0,0.0,500.0,5.2,0.009934029895742522,0.023678226341172254,0.14543328754776097,0.0,0.0,0.0,0.0
slice_phase_x_tyre,late×16_plus,stream_p_ann,0.06657844169096361,0.018487131857677818,0.26227419223919646,0.09245888843331933,0.08563991108041072,0.026076279366025037,0.11990948946837014,0.1363111193360891,4136.2,74.8,0.01816392917587785,0.5144171377486588,0.11399905237962996,0.5235750778519387,-0.4478386960576952,0.1482751398595665,-0.437935166771528
slice_phase_x_tyre,late×16_plus,stream_p_rf,0.22224211181965775,0.056760714905338946,0.07545179982565606,0.013291653873921923,0.23775179514022615,0.0528387986292415,0.2026139532496564,0.31732635312777896,4136.2,74.8,0.01816392917587785,0.5144171377486588,0.11399905237962996,0.5235750778519387,-0.2921750259290011,-0.0385472525539739,-0.28582328271171253
slice_phase_x_tyre,late×16_plus,stream_p_svm,0.22774500328880473,0.08867531915194665,0.1371232195057496,0.028300007011207228,0.2814442830509195,0.053583379973336315,0.19809399526321386,0.5020329112424264,4136.2,74.8,0.01816392917587785,0.5144171377486588,0.11399905237962996,0.5235750778519387,-0.28667213445985407,0.023124167126119644,-0.24213079480101918
slice_phase_x_tyre,late×16_plus,stream_p_xgb,0.354679459429084,0.12493994212275959,0.06607640199101014,0.021336119933061497,0.3736401547455343,0.11869185027168713,0.3480562076980764,0.4397829142454655,4136.2,74.8,0.01816392917587785,0.5144171377486588,0.11399905237962996,0.5235750778519387,-0.1597376783195748,-0.047922650388619814,-0.14993492310640438
slice_phase_x_tyre,late×16_plus,stream_tcn_proba,0.5144171377486588,0.07372698505356023,0.11399905237962996,0.05080200754005785,0.5235750778519387,0.03862948469121632,0.6341096537870732,0.451513809603191,4136.2,74.8,0.01816392917587785,0.5144171377486588,0.11399905237962996,0.5235750778519387,0.0,0.0,0.0
slice_phase_x_tyre,late×6_15,stream_p_ann,0.05902156326492297,0.054274879121240474,0.17359285385647472,0.08300297475308702,0.07433333333333333,0.10369292272003053,0.2587591240875912,0.12542457542457544,1870.6,20.0,0.010318252491859085,0.16357222803540186,0.06594550002725412,0.10592885375494072,-0.10455066477047889,0.1076473538292206,-0.03159552042160739
slice_phase_x_tyre,late×6_15,stream_p_rf,0.07250004754679071,0.0513379395803954,0.054043314150827915,0.01925667088758535,0.025793650793650792,0.048316649451928255,0.04294117647058824,0.019930069930069932,1870.6,20.0,0.010318252491859085,0.16357222803540186,0.06594550002725412,0.10592885375494072,-0.09107218048861115,-0.011902185876426205,-0.08013520296128993
slice_phase_x_tyre,late×6_15,stream_p_svm,0.06993019804605467,0.07313492080775914,0.0988619382801794,0.06345690226336821,0.0679076479076479,0.08956097468021633,0.0765266106442577,0.08508158508158507,1870.6,20.0,0.010318252491859085,0.16357222803540186,0.06594550002725412,0.10592885375494072,-0.09364202998934719,0.032916438252925284,-0.03802120584729282
slice_phase_x_tyre,late×6_15,stream_p_xgb,0.15664716535222872,0.15130334203836848,0.05521405589942645,0.034380693193856636,0.11757747129089964,0.12752623293850457,0.11262019230769231,0.14285159285159285,1870.6,20.0,0.010318252491859085,0.16357222803540186,0.06594550002725412,0.10592885375494072,-0.006925062683173139,-0.010731444127827672,0.011648617535958916
slice_phase_x_tyre,late×6_15,stream_tcn_proba,0.16357222803540186,0.0862057203939121,0.06594550002725412,0.02580681355071204,0.10592885375494072,0.15647382186645242,0.13,0.09010989010989011,1870.6,20.0,0.010318252491859085,0.16357222803540186,0.06594550002725412,0.10592885375494072,0.0,0.0,0.0
slice_phase_x_tyre,late×nan,stream_p_ann,0.3,,0.15736255360220192,,0.0,0.0,0.0,0.0,96.5,1.0,0.006289308176100629,0.22619047619047616,0.07652305169374857,0.0,0.07380952380952382,0.08083950190845335,0.0
slice_phase_x_tyre,late×nan,stream_p_rf,0.5147058823529411,,0.0565182003489457,,0.0,0.0,0.0,0.0,96.5,1.0,0.006289308176100629,0.22619047619047616,0.07652305169374857,0.0,0.28851540616246496,-0.020004851344802864,0.0
slice_phase_x_tyre,late×nan,stream_p_svm,0.13392857142857142,,0.06196181747200778,,0.0,0.0,0.0,0.0,96.5,1.0,0.006289308176100629,0.22619047619047616,0.07652305169374857,0.0,-0.09226190476190474,-0.014561234221740785,0.0
