number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_max_depth,params_max_depth_mode,params_max_features_frac,params_max_features_mode,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
87,1.2421624776086433,2026-01-30 20:52:14.556892,2026-01-30 20:52:17.539623,0 days 00:00:02.982731,True,,,none,,sqrt,3,39,451,PRUNED
88,0.9448580227064065,2026-01-30 20:52:17.540415,2026-01-30 20:52:23.518939,0 days 00:00:05.978524,True,,,none,0.1712681567636121,fraction,2,43,587,COMPLETE
89,0.9415985708313708,2026-01-30 20:52:23.519844,2026-01-30 20:52:27.678161,0 days 00:00:04.158317,True,,,none,0.17797618380319408,fraction,5,41,415,COMPLETE
90,0.9328958587701799,2026-01-30 20:52:27.679226,2026-01-30 20:52:32.400136,0 days 00:00:04.720910,True,,,none,0.13546076840957424,fraction,3,39,510,COMPLETE
91,0.9455674919136239,2026-01-30 20:52:32.401055,2026-01-30 20:52:36.787888,0 days 00:00:04.386833,True,,,none,0.10028761668357505,fraction,3,37,537,COMPLETE
92,0.9624451491395771,2026-01-30 20:52:36.788944,2026-01-30 20:52:44.554332,0 days 00:00:07.765388,True,,,none,0.1386258029571579,fraction,1,39,613,PRUNED
93,0.9372104303511731,2026-01-30 20:52:44.555200,2026-01-30 20:52:47.566220,0 days 00:00:03.011020,True,,,none,0.1269879131633551,fraction,6,33,348,COMPLETE
94,0.9370235990961863,2026-01-30 20:52:47.567140,2026-01-30 20:52:54.251242,0 days 00:00:06.684102,True,,,none,0.16843567032985501,fraction,3,37,654,COMPLETE
95,0.9578574782038108,2026-01-30 20:52:54.252326,2026-01-30 20:52:58.418549,0 days 00:00:04.166223,True,,,none,0.18522146263089134,fraction,33,42,490,PRUNED
96,0.9333116350971349,2026-01-30 20:52:58.419789,2026-01-30 20:53:02.422984,0 days 00:00:04.003195,True,,,none,0.14978252652537455,fraction,5,40,419,COMPLETE
97,0.9915913643659057,2026-01-30 20:53:02.423905,2026-01-30 20:53:05.114874,0 days 00:00:02.690969,True,,,none,0.15861635549069075,fraction,44,40,380,PRUNED
98,1.1099064421460354,2026-01-30 20:53:05.115656,2026-01-30 20:53:13.431291,0 days 00:00:08.315635,True,,,none,0.6053237157469206,fraction,5,30,566,PRUNED
99,0.9423188382284808,2026-01-30 20:53:13.432160,2026-01-30 20:53:18.565582,0 days 00:00:05.133422,True,balanced,,none,0.2364632816232648,fraction,2,34,432,PRUNED
