number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,state
50,1.4476498265555309,2026-02-26 11:11:53.209994,2026-02-26 11:11:54.870939,0 days 00:00:01.660945,65.27504384088233,3,sigmoid,,,linear,6996.0,0.002127895744891848,PRUNED
51,1.2701219828264836,2026-02-26 11:11:54.897611,2026-02-26 11:11:55.138258,0 days 00:00:00.240647,0.007322427108389061,3,sigmoid,balanced,,linear,12868.0,0.005776270622320214,PRUNED
52,1.1505506971710797,2026-02-26 11:11:55.161214,2026-02-26 11:11:56.282096,0 days 00:00:01.120882,0.001944003608761959,3,sigmoid,,,linear,9117.0,0.005390787983073815,COMPLETE
53,1.150458611894869,2026-02-26 11:11:56.307939,2026-02-26 11:11:56.612324,0 days 00:00:00.304385,0.0019621873664300168,3,sigmoid,,,linear,8666.0,0.0015027112498306701,COMPLETE
54,1.2309287741710007,2026-02-26 11:11:56.639874,2026-02-26 11:11:56.914931,0 days 00:00:00.275057,0.00565620514093936,3,sigmoid,,,linear,9483.0,1.089262898096918e-06,PRUNED
55,1.1599032671709824,2026-02-26 11:11:56.937144,2026-02-26 11:11:57.237123,0 days 00:00:00.299979,0.0010618111200588565,3,sigmoid,,,linear,7809.0,0.0015269820499140016,COMPLETE
56,1.4280852783102858,2026-02-26 11:11:57.264808,2026-02-26 11:11:58.757615,0 days 00:00:01.492807,0.43418637120008297,3,sigmoid,,,linear,5579.0,1.2686687367727934e-05,PRUNED
57,1.446101363375538,2026-02-26 11:11:58.790101,2026-02-26 11:12:00.604438,0 days 00:00:01.814337,6.1203882970912185,3,sigmoid,,,linear,8407.0,0.0005638494769552681,PRUNED
58,1.1496032451255833,2026-02-26 11:12:00.629412,2026-02-26 11:12:00.978260,0 days 00:00:00.348848,0.0021654554114210987,3,sigmoid,,,linear,7160.0,0.0003636771893968765,COMPLETE
59,1.1488181771425885,2026-02-26 11:12:01.004244,2026-02-26 11:12:01.317584,0 days 00:00:00.313340,0.002452576748541384,3,sigmoid,,,linear,3601.0,0.00036866344749395674,COMPLETE
60,1.2828506721754174,2026-02-26 11:12:01.348525,2026-02-26 11:12:01.613875,0 days 00:00:00.265350,0.012731571133708175,3,isotonic,,,linear,3619.0,0.0003494653695811562,PRUNED
61,1.3379913573951279,2026-02-26 11:12:01.638533,2026-02-26 11:12:03.113384,0 days 00:00:01.474851,0.015040807544378976,3,sigmoid,,0.08075685196670628,rbf,,,PRUNED
62,1.1495089456514287,2026-02-26 11:12:03.138086,2026-02-26 11:12:03.447626,0 days 00:00:00.309540,0.0021928540406529183,3,sigmoid,,,linear,3750.0,0.0004455277295158778,COMPLETE
63,1.2357296196838168,2026-02-26 11:12:03.474710,2026-02-26 11:12:03.827114,0 days 00:00:00.352404,0.00641739565560416,3,sigmoid,,,linear,4439.0,0.00025456198152689426,PRUNED
64,1.1485364359182648,2026-02-26 11:12:03.849880,2026-02-26 11:12:04.315430,0 days 00:00:00.465550,0.002621116383381692,3,sigmoid,,,linear,2587.0,0.0004780575635170539,COMPLETE
65,1.1482584480158486,2026-02-26 11:12:04.351982,2026-02-26 11:12:04.879620,0 days 00:00:00.527638,0.002928495427651775,3,sigmoid,,,linear,2350.0,0.00043644936758000007,COMPLETE
66,1.2502574635150399,2026-02-26 11:12:04.923631,2026-02-26 11:12:05.230161,0 days 00:00:00.306530,0.009022854001032215,3,sigmoid,,,linear,2631.0,0.0002701679279487485,PRUNED
67,1.1486096967061363,2026-02-26 11:12:05.260724,2026-02-26 11:12:05.568900,0 days 00:00:00.308176,0.002569601410242206,3,sigmoid,,,linear,2076.0,0.0005226282376831496,COMPLETE
68,1.148289743081542,2026-02-26 11:12:05.595981,2026-02-26 11:12:05.927113,0 days 00:00:00.331132,0.0028733538467457134,3,sigmoid,,,linear,3509.0,0.0005499805409659925,COMPLETE
69,1.1489642329466707,2026-02-26 11:12:05.953494,2026-02-26 11:12:06.267190,0 days 00:00:00.313696,0.0040945310323702265,3,sigmoid,,,linear,2023.0,0.0006561751783937855,COMPLETE
70,1.2481097744626088,2026-02-26 11:12:06.312170,2026-02-26 11:12:06.549813,0 days 00:00:00.237643,0.0040016109568364955,3,sigmoid,balanced,,linear,2132.0,0.0006865985773452481,PRUNED
71,1.3384466175398422,2026-02-26 11:12:06.572507,2026-02-26 11:12:06.969618,0 days 00:00:00.397111,0.042727374432394986,3,sigmoid,,,linear,3233.0,0.00014679110332390524,PRUNED
72,1.1483594352073976,2026-02-26 11:12:07.013142,2026-02-26 11:12:07.325954,0 days 00:00:00.312812,0.0027810071901451586,3,sigmoid,,,linear,4700.0,0.0005083380061584378,COMPLETE
73,1.1482116724004992,2026-02-26 11:12:07.354532,2026-02-26 11:12:07.653571,0 days 00:00:00.299039,0.003073335125778532,3,sigmoid,,,linear,4591.0,0.0008802574429766116,COMPLETE
74,1.1483897930191778,2026-02-26 11:12:07.696912,2026-02-26 11:12:08.034868,0 days 00:00:00.337956,0.0027453431678127757,3,sigmoid,,,linear,4361.0,0.0010034873474436261,COMPLETE
75,1.2293287557510308,2026-02-26 11:12:08.062604,2026-02-26 11:12:08.294411,0 days 00:00:00.231807,0.005409495690250342,3,sigmoid,,,linear,4560.0,0.0010029042973427283,PRUNED
76,1.1482171801749237,2026-02-26 11:12:08.319549,2026-02-26 11:12:08.625750,0 days 00:00:00.306201,0.003246298072746384,3,sigmoid,,,linear,4315.0,0.0005056293304332251,COMPLETE
77,1.258990548704355,2026-02-26 11:12:08.651615,2026-02-26 11:12:08.910946,0 days 00:00:00.259331,0.00924354768307818,3,isotonic,,,linear,4394.0,0.00021998725816164153,PRUNED
78,1.3517572664498112,2026-02-26 11:12:08.938353,2026-02-26 11:12:09.892453,0 days 00:00:00.954100,0.01256701112083561,3,sigmoid,,1.1225350392625759e-05,rbf,,,PRUNED
79,1.1562922919281777,2026-02-26 11:12:09.916003,2026-02-26 11:12:10.239510,0 days 00:00:00.323507,0.001282963413337137,3,sigmoid,,,linear,5137.0,0.0008972541179437009,COMPLETE
80,1.1482865437746503,2026-02-26 11:12:10.268330,2026-02-26 11:12:10.575283,0 days 00:00:00.306953,0.0028755461723824617,3,sigmoid,,,linear,6160.0,0.0007633268578726235,COMPLETE
81,1.242786697001958,2026-02-26 11:12:10.601437,2026-02-26 11:12:10.828412,0 days 00:00:00.226975,0.00338724945069941,3,sigmoid,balanced,,linear,6330.0,0.0011619568502552607,PRUNED
82,1.1482067858934262,2026-02-26 11:12:10.851591,2026-02-26 11:12:11.174885,0 days 00:00:00.323294,0.0031119460229022825,3,sigmoid,,,linear,3034.0,0.0007791751468762718,COMPLETE
