number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
430,1.2650675184370335,2026-02-26 10:34:18.410159,2026-02-26 10:34:19.383627,0 days 00:00:00.973468,0.5895814013551816,0.7688707312156603,0.02543234912545979,0.02538423290086595,8,8,11,5961,0.33325240369523,6.869396253993043,0.9543318055125581,PRUNED
431,1.2565033379970725,2026-02-26 10:34:19.410968,2026-02-26 10:34:20.013957,0 days 00:00:00.602989,0.750015892314801,0.7355379488069305,0.04713725380805069,0.22273601739274068,7,8,11,5996,0.44483787753295545,5.866820273792893,0.8108994436965345,PRUNED
432,1.2464710062963744,2026-02-26 10:34:20.047311,2026-02-26 10:34:20.583847,0 days 00:00:00.536536,0.5859072892115206,0.789283582892566,0.03990168556516609,0.2389798261347574,8,8,11,5894,0.3034225437043156,5.980735421756517,0.9904067816390514,PRUNED
433,1.3311874854507626,2026-02-26 10:34:20.630551,2026-02-26 10:34:21.346845,0 days 00:00:00.716294,0.6082425403242422,0.802136526483726,0.03000811816521156,0.24994391828141022,8,8,3,5746,0.25507726309643747,7.7027973218265675,0.9621457828564712,PRUNED
434,1.2844944109160068,2026-02-26 10:34:21.375036,2026-02-26 10:34:21.921588,0 days 00:00:00.546552,0.5799139407755837,0.7488118664622383,0.022492173063902214,0.23089237386062136,7,8,11,1761,0.40958145889805947,4.849063754675185,0.9704569560110067,PRUNED
435,1.2491672055715526,2026-02-26 10:34:21.951022,2026-02-26 10:34:22.500097,0 days 00:00:00.549075,0.599605175080737,0.7749315217157248,0.034249062172739854,0.21828871576281464,8,7,11,1821,0.5686483756218738,4.184987774540258,0.9561401798863017,PRUNED
436,1.261812100931101,2026-02-26 10:34:22.527937,2026-02-26 10:34:23.170923,0 days 00:00:00.642986,0.8333109315024427,0.7641799285064071,0.014217816924817531,0.23141202060218868,9,8,11,5554,0.39431722683957254,6.583621751383612,0.977118247436722,PRUNED
437,1.2576512491477099,2026-02-26 10:34:23.199191,2026-02-26 10:34:23.675952,0 days 00:00:00.476761,0.5927361315673318,0.4707995382023535,0.01726260315392832,0.21857002336614714,8,7,4,1292,0.49937624659210383,5.00487458071476,0.9817997655375309,PRUNED
438,1.2850389493176226,2026-02-26 10:34:23.709603,2026-02-26 10:34:24.500726,0 days 00:00:00.791123,0.7527200504046402,0.7927519105179145,0.05618611305826169,0.2383198578957705,7,8,2,1409,0.8336692623687914,4.548231537033376,0.9891182543289836,PRUNED
439,1.2573709366674108,2026-02-26 10:34:24.529166,2026-02-26 10:34:25.024358,0 days 00:00:00.495192,0.5778212461735968,0.7316999595015092,0.023688918928618415,0.22022208500951096,10,7,11,1896,0.7415056526017643,5.8698321892390855,0.76041884728913,PRUNED
