number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
264,0.27392739931117593,2026-02-26 13:01:36.736100,2026-02-26 13:01:58.938250,0 days 00:00:22.202150,0.7152789930550345,0.024580326218533784,0.18184268137690118,10,9,1,1902,0.031066421484195597,0.6940585986917915,12.065944862452971,0.8157204727962446,COMPLETE
265,0.13579476615322858,2026-02-26 13:01:59.001658,2026-02-26 13:02:20.720302,0 days 00:00:21.718644,0.7165579072513288,0.02580885201559147,0.1799977565929787,10,9,1,1850,0.03818256297677902,0.6321379339349457,12.053300471953541,0.7666961672980903,PRUNED
266,0.14154091693137033,2026-02-26 13:02:20.746621,2026-02-26 13:02:45.788030,0 days 00:00:25.041409,0.7387150676943006,0.021891353092993702,0.17120601129622579,10,9,1,1892,0.03216814484115988,0.7363509254763669,12.037520981863025,0.7318562733782128,PRUNED
267,0.13383297313321654,2026-02-26 13:02:45.838682,2026-02-26 13:03:06.826803,0 days 00:00:20.988121,0.6463684860880277,0.02664963505139487,0.18342639227885407,10,10,2,1831,0.033653203536732484,0.5620303621713673,12.822126902034542,0.7423890940625902,PRUNED
268,0.27538932422023243,2026-02-26 13:03:06.868119,2026-02-26 13:03:30.491398,0 days 00:00:23.623279,0.7175076013856279,0.01820843223437101,0.1761398912494226,10,9,1,1895,0.02630838986495452,0.7996456337659992,12.031204795345332,0.7843330860222693,COMPLETE
269,0.13490522464868915,2026-02-26 13:03:30.533116,2026-02-26 13:03:56.182904,0 days 00:00:25.649788,0.6301714027190188,0.01687619530633451,0.16557484368094416,7,9,1,1899,0.052068855205570114,0.7891554442949065,12.062295823380726,0.7841078725516901,PRUNED
270,0.2854173502164586,2026-02-26 13:03:56.216861,2026-02-26 13:04:12.678049,0 days 00:00:16.461188,0.5422834350781621,0.021553193974444957,0.17544547377976139,10,10,2,1788,0.17774444537462436,0.6773646000500294,12.749109193882855,0.7938655683696793,COMPLETE
271,0.15294484957255952,2026-02-26 13:04:12.707940,2026-02-26 13:04:35.595087,0 days 00:00:22.887147,0.6611847514446125,0.017892736600811854,0.19194945413844727,10,9,1,1925,0.0281341449333598,0.4511664461413421,54.66547788947559,0.835047694628294,PRUNED
272,0.14182135050816935,2026-02-26 13:04:35.622406,2026-02-26 13:05:07.426447,0 days 00:00:31.804041,0.6814292217300636,0.035818200941888964,0.1995851055976486,10,9,1,1856,0.02330526775241489,0.8248761127388222,12.004419455921864,0.8208401338510796,PRUNED
273,0.16947270395024008,2026-02-26 13:05:07.463802,2026-02-26 13:05:27.929261,0 days 00:00:20.465459,0.9410896070251982,0.024582026958073523,0.1848162701569673,10,9,1,1912,0.09840864951778731,0.5955683442655888,13.256293348703288,0.7744113180407746,PRUNED
274,0.133424361611288,2026-02-26 13:05:27.961454,2026-02-26 13:07:15.131896,0 days 00:01:47.170442,0.7080684007360843,0.028361383840002634,0.030167991221799518,10,9,2,1813,0.002513076109054558,1.0502215424632126,12.482435069888734,0.7838271488000058,PRUNED
275,0.14293147977960646,2026-02-26 13:07:15.170358,2026-02-26 13:07:43.042730,0 days 00:00:27.872372,0.6721892241076568,0.02023357713929409,0.17537199407900764,10,9,12,1941,0.002012035997873463,0.7217670364146737,12.015139293180749,0.8052198928033137,PRUNED
276,0.29896530111774294,2026-02-26 13:07:43.077288,2026-02-26 13:08:01.840423,0 days 00:00:18.763135,0.7287288601559536,0.04057668293648977,0.11563330305643091,10,10,1,1859,0.021173739047990102,0.8653972796778,13.634176435950593,0.7683350605931477,COMPLETE
277,0.13638958044263227,2026-02-26 13:08:01.878243,2026-02-26 13:08:21.190119,0 days 00:00:19.311876,0.6883506218778792,0.026658701937572242,0.1875460698986439,10,9,1,901,0.003045139945174861,1.1722232238851846,12.002818937827945,0.7602207238480018,PRUNED
278,0.13944560891794575,2026-02-26 13:08:21.238953,2026-02-26 13:08:46.868570,0 days 00:00:25.629617,0.656174706539242,0.0030505669415782566,0.19320319817736253,10,9,11,1946,0.09069996550340445,0.6051357236861558,12.855930373408007,0.7754061800425502,PRUNED
279,0.14422370688314298,2026-02-26 13:08:46.904234,2026-02-26 13:09:05.313240,0 days 00:00:18.409006,0.7081244733451382,0.036239140416554703,0.18282281389421823,10,9,2,1033,0.05056992518143576,1.0211217883960717,12.446876542729978,0.7638872122978134,PRUNED
280,0.13467761834323405,2026-02-26 13:09:05.354242,2026-02-26 13:09:24.602928,0 days 00:00:19.248686,0.6448689312108634,0.015964763655408307,0.16768807507024738,6,10,1,1913,0.14272878392014693,0.5201248191812132,12.869620587640124,0.7889909400812786,PRUNED
281,0.13831013700400888,2026-02-26 13:09:24.639561,2026-02-26 13:09:43.005942,0 days 00:00:18.366381,0.6813733657370125,0.04680357942749537,0.19981103342605233,10,9,1,1761,0.04425216400575192,0.8246193603536669,12.43580153081703,0.7981813062287506,PRUNED
282,0.13383466301058142,2026-02-26 13:09:43.040179,2026-02-26 13:10:00.404692,0 days 00:00:17.364513,0.6643329469099172,0.003458079294770847,0.17609327833757765,10,9,1,1879,0.0017127903963202677,0.6929773598675257,12.010301225976473,0.75393460378028,PRUNED
283,0.13632701569889247,2026-02-26 13:10:00.440845,2026-02-26 13:10:25.488815,0 days 00:00:25.047970,0.7433275788127331,0.028790609057584068,0.18875970571424716,10,9,1,1951,0.10958974003819845,2.125282829625222,13.292579486281948,0.7711407259348325,PRUNED
284,0.14221852351758998,2026-02-26 13:10:25.527605,2026-02-26 13:10:54.379772,0 days 00:00:28.852167,0.6963497792181202,0.0013596109525748658,0.19430383637584558,10,9,2,1829,0.0035376787882931042,0.3979760220825024,12.497939063306612,0.7794671717200301,PRUNED
285,0.2892081861393203,2026-02-26 13:10:54.418737,2026-02-26 13:11:30.701268,0 days 00:00:36.282531,0.6726723858487449,0.019687045332134265,0.06449522684380479,10,10,1,1915,0.07778762163885458,1.5469245298684013,12.001454915151225,0.759896402257108,COMPLETE
286,0.28316934917485465,2026-02-26 13:11:30.738208,2026-02-26 13:11:55.148432,0 days 00:00:24.410224,0.7192178456915309,0.003995655357289713,0.18451278793618103,10,9,1,1972,0.0022449879177785298,1.2626003326835975,12.980855823625749,0.7175077579253472,COMPLETE
287,0.14667013818206318,2026-02-26 13:11:55.177751,2026-02-26 13:12:21.463547,0 days 00:00:26.285796,0.6397896524675352,0.022930946085384794,0.17057807801208386,10,9,1,1880,0.06407788209796725,0.9617779463916185,33.11132746607411,0.7518810363330038,PRUNED
288,0.14580805378107975,2026-02-26 13:12:21.491647,2026-02-26 13:12:44.802638,0 days 00:00:23.310991,0.9972558457773258,0.036808819469378674,0.17852299633731017,10,10,1,1801,0.002876963294772411,0.783578173544068,12.5092151533786,0.7909807053229861,PRUNED
289,0.13585408590839074,2026-02-26 13:12:44.847314,2026-02-26 13:13:14.072594,0 days 00:00:29.225280,0.6879192706955936,0.011522284512588491,0.19100340270965488,10,9,2,1707,0.22918601554533014,1.0692687710296216,13.813963253186234,0.7683954681731116,PRUNED
290,0.2812467055229352,2026-02-26 13:13:14.098684,2026-02-26 13:13:39.865767,0 days 00:00:25.767083,0.7053809703440899,0.03173097464592784,0.18515343321479827,10,9,1,547,0.1794360287793783,0.505972726550964,12.790566963027178,0.781099191694507,COMPLETE
291,0.1498363015706307,2026-02-26 13:13:39.908992,2026-02-26 13:14:21.866745,0 days 00:00:41.957753,0.6581470616734887,0.045147643528488345,0.19417378388543,10,4,1,1944,0.370422463041028,0.6400259738919201,13.287215850232228,0.7593353598535135,PRUNED
292,0.29198289982586445,2026-02-26 13:14:21.897784,2026-02-26 13:14:57.463206,0 days 00:00:35.565422,0.5616214489091489,0.015368978856677025,0.0878159628296011,10,9,1,1848,0.09377403143874224,0.8600324971037855,12.43568432589049,0.8058691881714221,COMPLETE
293,0.2974635335197092,2026-02-26 13:14:57.495797,2026-02-26 13:16:03.884261,0 days 00:01:06.388464,0.7332796644391884,0.002437611112785633,0.0365615432583978,10,10,2,1910,0.0016906165096071566,1.2899541280947484,12.435669853898377,0.7477057472745043,COMPLETE
294,0.27781854997659644,2026-02-26 13:16:03.925895,2026-02-26 13:16:24.439481,0 days 00:00:20.513586,0.6224735987132577,0.004266385188998417,0.1768524573381527,10,9,1,1967,0.0020390210855593927,0.6882232675084907,12.022703885141059,0.8143473977965409,COMPLETE
295,0.1365191726599506,2026-02-26 13:16:24.471866,2026-02-26 13:16:50.358832,0 days 00:00:25.886966,0.6155237788354032,0.0041307529147864164,0.17782982738744493,10,9,1,1998,0.11422014759104616,0.5654737592427339,19.295620624645153,0.8176237370360147,PRUNED
296,0.13635652487040262,2026-02-26 13:16:50.389176,2026-02-26 13:17:13.361689,0 days 00:00:22.972513,0.6324752561591153,0.0031379565197342954,0.18623354903951242,9,9,10,1973,0.002330851560667523,1.0512421349773715,12.815552899945166,0.8330207556850443,PRUNED
297,0.27984174935705297,2026-02-26 13:17:13.397740,2026-02-26 13:17:38.299182,0 days 00:00:24.901442,0.619887832154274,0.004739498773111873,0.1988087596561254,10,9,1,1948,0.1541674718724778,1.7397578936721791,12.446715363327058,0.8158989236225304,COMPLETE
298,0.13891936344731082,2026-02-26 13:17:38.329239,2026-02-26 13:17:58.995338,0 days 00:00:20.666099,0.6277752001029642,0.003656627484363778,0.1998702026654135,10,9,1,786,0.0566038149062715,0.6825763194144564,13.177858081265885,0.8005588031150196,PRUNED
299,0.29558863126071666,2026-02-26 13:17:59.029042,2026-02-26 13:18:59.399608,0 days 00:01:00.370566,0.594858658674067,0.006153932318706003,0.05145198334715034,10,10,2,1901,0.07700148570082051,0.9144810679428682,12.4486591089461,0.773208068766643,COMPLETE
300,0.13552433717102275,2026-02-26 13:18:59.439925,2026-02-26 13:19:19.091321,0 days 00:00:19.651396,0.6530326378100592,0.004334810935538596,0.18186248203040564,9,9,1,1937,0.004011122099307826,0.45223299235000347,12.039755863472756,0.7654318363566446,PRUNED
301,0.13741162348694336,2026-02-26 13:19:19.124863,2026-02-26 13:19:42.816532,0 days 00:00:23.691669,0.6233422616340188,0.002833915096165641,0.1911568034119156,10,9,9,1968,0.0032016820210169364,1.1383425632737796,12.012271883595025,0.8070745325135178,PRUNED
302,0.29580018401003383,2026-02-26 13:19:42.843566,2026-02-26 13:20:01.236250,0 days 00:00:18.392684,0.5998389707619006,0.0021592796408545544,0.1743487163477802,10,10,1,1904,0.04220276796379599,1.5129722034330704,13.801012496809012,0.7873932986234344,COMPLETE
303,0.13366626164073048,2026-02-26 13:20:01.276545,2026-02-26 13:20:26.734447,0 days 00:00:25.457902,0.6461450255779337,0.007778718035988248,0.16248017038619803,7,9,2,1875,0.12397805009091692,0.7385091446587565,12.88805572772427,0.8256487452733637,PRUNED
304,0.15336289514523585,2026-02-26 13:20:26.767365,2026-02-26 13:20:53.390787,0 days 00:00:26.623422,0.6710390683997677,0.005249526419682439,0.18779885724366818,10,9,1,1933,0.0019117140617169923,0.9018061484315129,26.20972411430141,0.7945554666593386,PRUNED
305,0.13547966942092177,2026-02-26 13:20:53.417501,2026-02-26 13:21:15.352689,0 days 00:00:21.935188,0.6066596105814838,0.02405838258109484,0.17989209175466914,10,9,1,1999,0.018287957984322013,0.6028565781448373,12.421105290324583,0.7528455291972171,PRUNED
306,0.27495199114519453,2026-02-26 13:21:15.386949,2026-02-26 13:21:32.995030,0 days 00:00:17.608081,0.6372385418199966,0.018610235829199184,0.19267349684283794,10,10,1,1965,0.002642051270926625,1.266308750797835,12.006434682291333,0.7779945245720068,COMPLETE
307,0.1390104983676771,2026-02-26 13:21:33.033659,2026-02-26 13:21:57.257876,0 days 00:00:24.224217,0.6383150911587883,0.01902737136499874,0.18739529314553285,10,10,8,741,0.002718475590859122,1.4847792429277973,12.967024189151418,0.7807279244681722,PRUNED
308,0.1411976718585945,2026-02-26 13:21:57.304756,2026-02-26 13:22:15.845562,0 days 00:00:18.540806,0.6835658150405606,0.014688849356686746,0.17218920202076715,0,10,1,1954,0.0023773462621518022,1.2638248355050412,13.425393318682337,0.7751157304185989,PRUNED
309,0.13555973534029106,2026-02-26 13:22:15.899519,2026-02-26 13:22:33.913209,0 days 00:00:18.013690,0.6967437099449645,0.016812752376884336,0.1919894742457745,9,10,1,1971,0.0014613615622371856,1.0908981084083171,12.02157153710586,0.7870337491066474,PRUNED
310,0.15277119336198985,2026-02-26 13:22:33.956404,2026-02-26 13:23:08.869766,0 days 00:00:34.913362,0.6632724438970184,0.012773735712352463,0.181242247543781,10,10,1,1925,0.0032135038065778153,2.4518840116152334,41.65719980319473,0.7681076397403354,PRUNED
311,0.13528614929044902,2026-02-26 13:23:08.909668,2026-02-26 13:23:50.423805,0 days 00:00:41.514137,0.7121777779337142,0.003613887328418476,0.07442496237585257,10,10,1,2000,0.0020432911529526384,1.3605460497175144,12.751336541856624,0.7980197201528393,PRUNED
312,0.2798552679168803,2026-02-26 13:23:50.465588,2026-02-26 13:24:10.876415,0 days 00:00:20.410827,0.6794423133944641,0.01968367690493619,0.17633502837102422,4,10,1,1895,0.002737057514747511,1.9289026859306384,12.438224855989203,0.7763377877121311,COMPLETE
313,0.1555117772465194,2026-02-26 13:24:10.923194,2026-02-26 13:24:38.614904,0 days 00:00:27.691710,0.6502389682237538,0.022951739491314533,0.19349205847276085,8,9,1,1956,0.09880738259434507,0.9301322328814265,45.48813806466317,0.7624880958339909,PRUNED
314,0.2784326826826654,2026-02-26 13:24:38.666415,2026-02-26 13:24:56.610190,0 days 00:00:17.943775,0.6941415481289888,0.0043679510445597146,0.18168719767963107,10,10,1,1919,0.003752388361903728,0.8154781842256491,12.4710051055477,0.813213117431056,COMPLETE
315,0.15415540374675982,2026-02-26 13:24:56.658366,2026-02-26 13:25:09.934102,0 days 00:00:13.275736,0.7545026155549728,0.003302245043991009,0.18786636711398758,10,9,1,1971,0.06810775655683064,0.03830396100950013,13.149964449629918,0.7840248454006272,PRUNED
316,0.14115152694944422,2026-02-26 13:25:09.977426,2026-02-26 13:25:35.152200,0 days 00:00:25.174774,0.6703204802743271,0.027832909575414226,0.16902982674338354,10,9,1,1589,0.0016335708923259002,4.550920969660846,12.789288256804046,0.7710675853724159,PRUNED
317,0.1436738363867983,2026-02-26 13:25:35.187203,2026-02-26 13:25:53.005946,0 days 00:00:17.818743,0.7216885325724698,0.006193246446935926,0.19395689298379776,10,9,1,1876,0.08258754688244498,1.1484424442401062,12.388999034291826,0.7590811483918781,PRUNED
318,0.27282515719848444,2026-02-26 13:25:53.047238,2026-02-26 13:26:16.212040,0 days 00:00:23.164802,0.70257850283903,0.01704952285312316,0.19992610299603508,10,9,1,1932,1.9802409929099842,0.9306765773045911,12.041184224861064,0.76544725281206,COMPLETE
319,0.28479043544673843,2026-02-26 13:26:16.267642,2026-02-26 13:26:38.404288,0 days 00:00:22.136646,0.7031950435088585,0.018176028350124843,0.1995424074052937,10,10,1,1852,0.4462215807339403,1.0423528322679387,13.4492008142488,0.7659414976306681,COMPLETE
320,0.13960106413329637,2026-02-26 13:26:38.444354,2026-02-26 13:27:05.313626,0 days 00:00:26.869272,0.713797993160556,0.011049591526957721,0.19242093863436238,9,9,4,1929,5.69997582812454,1.365260470531626,12.84708758964171,0.7767143145575613,PRUNED
321,0.2791690691828218,2026-02-26 13:27:05.341701,2026-02-26 13:27:33.247718,0 days 00:00:27.906017,0.6821392649960883,0.014118186644936056,0.19967292904616468,10,9,1,1895,3.616788791875277,0.898338865682106,12.422926940133973,0.7581661426498719,COMPLETE
322,0.1430465981327663,2026-02-26 13:27:33.278187,2026-02-26 13:27:57.096638,0 days 00:00:23.818451,0.6970546526706471,0.01837711261595416,0.18621083217645248,10,10,1,1915,0.8559527790017384,1.6806935135752021,12.034054541734365,0.7689101777056788,PRUNED
323,0.2810872662332425,2026-02-26 13:27:57.123253,2026-02-26 13:28:22.330522,0 days 00:00:25.207269,0.7313357314297252,0.02169432333370501,0.19208519603030846,10,9,1,1871,0.6918576685729354,1.1734417823177579,12.800249256903701,0.7904382509416314,COMPLETE
324,0.27326656936209337,2026-02-26 13:28:22.361168,2026-02-26 13:28:44.497566,0 days 00:00:22.136398,0.710096089967009,0.015170322064546958,0.18598720667946878,9,9,1,1939,0.08484428190135908,0.8366730102354999,12.025408776996212,0.7808957975962246,COMPLETE
