number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
49,0.10677595108724056,2026-02-26 11:12:08.099583,2026-02-26 11:12:38.696345,0 days 00:00:30.596762,24.281708108750575,5,sigmoid,balanced,0.04017555853350587,rbf,,,,COMPLETE
50,0.10066305915976945,2026-02-26 11:12:38.728277,2026-02-26 11:18:57.423975,0 days 00:06:18.695698,16.988249078074332,5,sigmoid,balanced,0.8319856164499779,rbf,,,,PRUNED
51,0.11582167278178586,2026-02-26 11:18:57.449335,2026-02-26 11:19:12.175353,0 days 00:00:14.726018,66.38035939214815,3,isotonic,balanced,0.023789850119717754,rbf,,,,COMPLETE
52,0.10719589839233264,2026-02-26 11:19:12.215275,2026-02-26 11:19:49.126470,0 days 00:00:36.911195,64.93398485765766,5,sigmoid,balanced,0.09845942625033002,rbf,,,,COMPLETE
53,0.09277921074120973,2026-02-26 11:19:49.155761,2026-02-26 11:20:41.676989,0 days 00:00:52.521228,6.094125426825979,5,sigmoid,balanced,0.007619783897043568,rbf,,,,PRUNED
54,0.10676741889306776,2026-02-26 11:20:41.703451,2026-02-26 11:21:12.230849,0 days 00:00:30.527398,24.87971310836659,5,sigmoid,balanced,0.031032129659694253,rbf,,,,COMPLETE
55,0.10709830691817661,2026-02-26 11:21:12.265774,2026-02-26 11:21:43.745360,0 days 00:00:31.479586,34.93241503609504,5,sigmoid,balanced,0.06604876230219983,rbf,,,,COMPLETE
56,0.10692691814454322,2026-02-26 11:21:43.780966,2026-02-26 11:22:42.159249,0 days 00:00:58.378283,75.45960585706695,5,sigmoid,balanced,0.17553274572068786,rbf,,,,COMPLETE
57,0.10696062280302843,2026-02-26 11:22:42.353934,2026-02-26 11:23:13.164595,0 days 00:00:30.810661,22.822478012169917,5,sigmoid,balanced,0.02457282153932844,rbf,,,,COMPLETE
58,0.09087843884612609,2026-02-26 11:23:13.194167,2026-02-26 11:23:46.266318,0 days 00:00:33.072151,96.06309471362098,5,sigmoid,balanced,0.013489306544751754,rbf,,,,PRUNED
59,0.09551371822347972,2026-02-26 11:23:46.291471,2026-02-26 11:24:27.922963,0 days 00:00:41.631492,11.569689621267381,5,sigmoid,custom,0.004991150051360761,rbf,,57.02248375210939,,PRUNED
